V,D,traffic_pattern,Lcore_MAX_ECMP_ASP,Laccess_MAX_ECMP_ASP,Phi_ECMP_ASP[GBps],Lcore_NEXU_MP_ASP,Phi_NEXU[GBps],init_time[s],solving_time[s],peak_RAM[MB]
25,6,diagonal_half,10.0,2.5225225225225225,189.1891891891892,7.5675675675675675,250.0,0.17068696022033691,0.01648116111755371,1.5602
36,7,uniform,10.000000000000004,5.712021303575957,822.5310677149375,6.756276946487445,1217.4324324324327,0.43100738525390625,0.22272896766662598,2.931296
36,7,shift_1,10.0,1.25,180.0,10.0,180.0,0.4052908420562744,0.036119937896728516,2.985019
36,7,shift_quater,9.999999999999998,1.4999999999999998,216.0,6.0,359.99999999999994,0.40936708450317383,0.03672003746032715,3.041947
36,7,shift_half,10.0,2.25,324.0,9.0,360.0,0.4032902717590332,0.034888505935668945,3.098879
36,7,diagonal_1,10.0,2.362204724409449,340.1574803149606,9.448818897637796,359.99999999999994,0.4238698482513428,0.03550434112548828,3.098879
36,7,diagonal_quater,10.0,1.9836272040302265,285.64231738035267,7.934508816120906,360.00000000000006,0.40769147872924805,0.035976409912109375,3.098879
36,7,diagonal_half,10.0,2.25,324.0,9.0,360.0,0.4121401309967041,0.035790443420410156,3.098879
49,8,uniform,9.999999999999996,6.6349506792387505,1300.4503331307951,6.618979578702649,1959.9999999999995,0.8886337280273438,1.0991928577423096,5.703787
49,8,shift_1,10.000000000000002,1.2000000000000002,235.20000000000002,9.600000000000001,245.0,0.8420562744140625,0.07187628746032715,5.801459
49,8,shift_quater,10.0,1.9672131147540983,385.5737704918033,7.868852459016393,490.00000000000006,0.8611478805541992,0.07559585571289062,5.801459
49,8,shift_half,9.999999999999998,2.3809523809523805,466.6666666666667,9.523809523809522,490.00000000000006,0.8671000003814697,0.07275104522705078,5.80195
49,8,diagonal_1,10.0,2.0,392.0,8.0,490.0,0.8605523109436035,0.07198309898376465,5.80195
49,8,diagonal_quater,10.0,2.962962962962963,580.7407407407406,7.407407407407407,783.9999999999999,0.8572371006011963,0.0926969051361084,5.805266
49,8,diagonal_half,9.999999999999998,2.3809523809523805,466.6666666666667,9.523809523809522,490.00000000000006,0.8693509101867676,0.07255125045776367,5.805266
64,9,uniform,10.000000000000007,6.095479990222192,1950.5535968711001,7.001322774819278,2785.9786780383797,1.7797837257385254,1.5752136707305908,11.317939
64,9,shift_1,10.0,1.0,320.0,10.0,320.0,1.7878737449645996,0.1774442195892334,11.318143
64,9,shift_quater,9.999999999999998,1.268292682926829,405.8536585365855,6.341463414634146,640.0000000000001,1.7850897312164307,0.1956319808959961,11.334405
64,9,shift_half,9.999999999999998,0.923076923076923,295.3846153846155,9.23076923076923,320.00000000000006,1.7867846488952637,0.19951391220092773,11.445339
64,9,diagonal_1,10.0,1.9310344827586206,617.9310344827585,9.655172413793103,639.9999999999999,1.5767302513122559,0.13344430923461914,11.445339
64,9,diagonal_quater,9.999999999999998,1.857142857142857,594.2857142857144,9.285714285714285,640.0000000000001,1.5779492855072021,0.13329768180847168,11.445339
64,9,diagonal_half,9.999999999999998,0.923076923076923,295.3846153846155,9.23076923076923,320.00000000000006,1.5780653953552246,0.15796518325805664,11.445339
81,10,uniform,10.0,6.5265677198247305,2643.259926529016,6.808978790942928,3882.0210896309304,2.7866525650024414,2.88887357711792,19.283467
81,10,shift_1,10.0,1.0,405.0,10.0,405.0,2.7546606063842773,0.2256944179534912,19.2836
81,10,shift_quater,10.000000000000004,1.0896898575020957,441.3243922883487,9.807208717518861,450.00000000000006,2.7264130115509033,0.22625494003295898,19.2836
81,10,shift_half,10.0,1.25,506.25,10.0,506.25,2.5928993225097656,0.30854082107543945,19.285049
81,10,diagonal_1,10.0,1.894736842105263,767.3684210526314,9.473684210526315,809.9999999999999,2.8937530517578125,0.3054938316345215,19.285194
81,10,diagonal_quater,10.000000000000004,1.4682813578465208,594.6539499278408,6.607266110309343,900.0000000000002,2.8903725147247314,0.3135082721710205,19.285386
81,10,diagonal_half,10.0,1.3333333333333335,540.0000000000001,10.0,540.0000000000001,2.9060680866241455,0.30966949462890625,19.285598
100,11,uniform,10.00000000000001,6.021784562127709,3613.070737276622,6.998686361209451,5162.498432994856,4.976147651672363,6.9209349155426025,31.978163
100,11,shift_1,10.000000000000002,0.8333333333333334,499.9999999999999,10.000000000000002,499.9999999999999,4.9684059619903564,0.4559507369995117,31.978163
100,11,shift_quater,10.000000000000002,0.8333333333333334,499.9999999999999,10.000000000000002,499.9999999999999,4.95283579826355,0.37824201583862305,31.978643
100,11,shift_half,10.0,1.25,750.0,7.5,1000.0,4.970395088195801,0.5001988410949707,31.978913
100,11,diagonal_1,10.000000000000002,1.6666666666666667,999.9999999999998,10.000000000000002,999.9999999999998,4.990008592605591,0.5064122676849365,31.979027
100,11,diagonal_quater,9.999999999999998,1.527777777777778,916.6666666666667,9.166666666666666,1000.0,5.024083614349365,0.4590282440185547,31.979235
100,11,diagonal_half,10.0,1.25,750.0,7.5,1000.0,5.04801082611084,0.5033435821533203,31.979462
