V,D,traffic_pattern,Lcore_MAX_ECMP_APST4,Laccess_MAX_ECM_APST4,Phi_ECMP_APST4[GBps],Lcore_NEXU_MP_APST4,Phi_NEXU[GBps],init_time[s],solving_time[s],peak_RAM[MB]
16,5,uniform,15.523066484351855,6.68393519223932,206.67880895240728,7.3303505880071445,437.6719576719577,0.832909107208252,0.15415525436401367,2.70975
16,5,shift_1,6.5733244144354375,2.2222222222222223,162.27202544943603,3.3333333333333344,319.99999999999983,0.820401668548584,0.0675508975982666,4.011247
16,5,shift_quater,5.355337366267155,1.5555555555555554,139.42476740491844,2.5454545454545454,293.33333333333326,0.8099045753479004,0.062354326248168945,4.052674
16,5,shift_half,8.559840778416632,2.857142857142857,160.21659829077493,4.6153846153846185,297.142857142857,0.8047966957092285,0.06185340881347656,4.052674
16,5,diagonal_1,9.509643777916338,3.636363636363636,183.54573380633954,5.034965034965035,346.66666666666663,0.9038848876953125,0.07336974143981934,4.082251
16,5,diagonal_quater,7.574384474400977,2.5225225225225225,159.85600082791785,4.127764127764129,293.33333333333326,0.909677267074585,0.0720832347869873,4.118137
25,6,uniform,12.278043891271722,6.158418784366176,376.18484908317345,6.4080844107594,720.7792207792206,2.9920156002044678,1.177978515625,13.772405
25,6,shift_1,5.831440073849941,2.0,257.2263422077308,2.646153846153847,566.8604651162789,3.1886425018310547,0.2365741729736328,13.772405
25,6,shift_quater,5.182253941875162,1.9607843137254903,283.7738659256046,2.5527192008879025,576.0869565217392,3.2116689682006836,0.29424548149108887,13.772405
25,6,shift_half,6.921267219207917,2.4137931034482762,261.5626257807434,3.6206896551724115,500.00000000000034,3.1800923347473145,0.2651386260986328,13.772405
25,6,diagonal_1,7.684577572909605,3.3333333333333335,325.3269260776591,4.166666666666667,600.0,3.178459644317627,0.31032776832580566,13.772405
25,6,diagonal_quater,8.518820346459949,3.3333333333333335,293.46786272337476,4.166666666666667,600.0,3.188262939453125,0.2882516384124756,13.772405
36,7,uniform,13.126230918509497,5.712021303575957,626.6315691239854,6.589416425441859,1248.260869565217,8.868160247802734,3.324767589569092,40.429155
36,7,shift_1,3.9419718928208796,1.25,456.62426038048636,1.9898196107483437,904.6046135423527,8.540775537490845,0.914374828338623,40.448987
36,7,shift_quater,5.04236656026198,1.4999999999999998,428.370284902051,2.3682901937684506,912.0503921704725,8.501401424407959,0.9074556827545166,40.449248
36,7,shift_half,6.907828571441766,2.25,469.03306393484576,3.6486486486486496,887.9999999999998,8.624833583831787,0.7766547203063965,40.449541
36,7,diagonal_1,6.37656279961469,2.362204724409449,533.4495887588764,3.42970753731292,991.7973372781064,8.94749927520752,0.8515603542327881,40.449733
36,7,diagonal_quater,5.467147811421114,1.9836272040302265,522.470449369657,3.0022465790727755,951.4285714285714,8.568073987960815,0.827329158782959,40.449933
49,8,uniform,13.009776551243448,6.6349506792387505,999.5946725207209,6.6189795787026435,1959.9999999999995,21.44760751724243,11.260187864303589,97.255963
49,8,shift_1,3.3398796885180744,1.2000000000000002,704.2169836493714,1.6580963264795607,1418.4941866397612,21.48296284675598,2.298262596130371,97.276607
49,8,shift_quater,4.979648030652585,1.9672131147540983,774.2992438790371,2.5819530163421454,1493.341544371113,21.82841420173645,3.533294200897217,97.276882
49,8,shift_half,5.812551398612987,2.3809523809523805,802.8602840020036,2.934743604629477,1590.144590248064,21.821298122406006,2.1260480880737305,97.27712
49,8,diagonal_1,4.919522024382247,2.0,796.8253786793933,2.534775888717156,1546.4878048780488,21.742629051208496,2.085914134979248,97.277324
49,8,diagonal_quater,7.070767318036104,2.962962962962963,821.3263350632228,3.6483687109696183,1591.7819352923862,21.784850358963013,2.5389108657836914,97.277324
64,9,uniform,13.384039025974555,6.095479990222192,1457.3729149217513,7.001322774819279,2785.9786780383797,47.083428144454956,33.67631220817566,208.362787
64,9,shift_1,3.1355406670373314,1.0,1020.5576453338027,1.585390161477517,2018.4305906236573,46.87159252166748,4.711445331573486,208.362991
64,9,shift_quater,4.271983684697139,1.268292682926829,950.0356005347392,1.9637463994586604,2066.7315221989243,47.03057408332825,4.798856258392334,208.363252
64,9,shift_half,2.720742826043162,0.923076923076923,1085.6763548438716,1.454925151497528,2030.2392537552973,46.109169721603394,3.8059070110321045,208.363491
64,9,diagonal_1,5.367494216902727,1.9310344827586206,1151.2467634093346,2.815992717162404,2194.3630419095334,46.60028600692749,4.377788305282593,208.363698
64,9,diagonal_quater,5.36466795175562,1.857142857142857,1107.7772559832538,2.671298712783574,2224.707073910318,47.366217374801636,4.39884352684021,208.363904
81,10,uniform,12.921722031271647,6.5265677198247305,2045.59417091012,6.808978790942929,3882.02108963093,93.1218786239624,111.4478349685669,412.782323
81,10,shift_1,2.841443391727508,1.0,1425.3319322816872,1.3960800026952627,2900.9798809388412,94.32613778114319,9.660415887832642,412.782323
81,10,shift_quater,2.706211846564474,1.0896898575020957,1630.7828703381388,1.4594139576946599,3023.9836337147267,93.27403450012207,17.24212670326233,412.782785
81,10,shift_half,3.07057436790759,1.25,1648.7143424732574,1.6679647737612215,3035.136041023325,94.09076809883118,15.546733856201172,412.783027
81,10,diagonal_1,4.685113949848524,1.894736842105263,1637.8863550958915,2.4025892833558977,3193.922599957591,94.0023353099823,8.868706226348877,412.78322
81,10,diagonal_quater,3.425329129961235,1.4682813578465208,1736.0490842366753,1.8108355096230464,3283.865081989846,94.24065852165222,10.038489818572998,412.783424
