topo,V,D,EPR,traffic,ave_phi
RRG,57,8,4,shift-1,6.412213740458016
RRG,57,8,4,router-cluster,4.55880349028987
RRG,57,8,4,random-permute,10.0
RRG,91,10,5,uniform,6.02261026625471
RRG,91,10,5,shift-half,1.222222222222222
RRG,91,10,5,nearst-neighbour,9.391079508726573
RRG,91,10,5,shift-1,6.666666666666666
RRG,91,10,5,router-cluster,4.913181497974013
RRG,91,10,5,random-permute,10.0
RRG,98,11,6,uniform,5.862107684961442
RRG,98,11,6,shift-half,0.8333333333333331
RRG,98,11,6,nearst-neighbour,7.5208199871877
RRG,98,11,6,shift-1,4.7058823529411775
RRG,98,11,6,router-cluster,4.2733010933692865
RRG,98,11,6,random-permute,10.0
RRG,114,8,4,uniform,5.723914011626754
RRG,114,8,4,shift-half,1.0714285714285714
RRG,114,8,4,nearst-neighbour,6.996511023680503
RRG,114,8,4,shift-1,4.833333333333333
RRG,114,8,4,router-cluster,3.8412458858733967
RRG,114,8,4,random-permute,10.0
RRG,128,12,6,uniform,6.437554481470659
RRG,128,12,6,shift-half,1.0416666666666667
RRG,128,12,6,nearst-neighbour,6.657986111111112
RRG,128,12,6,shift-1,5.0
RRG,128,12,6,router-cluster,4.215072282412549
RRG,128,12,6,random-permute,10.0
RRG,133,12,6,uniform,6.807104099497769
RRG,133,12,6,shift-half,1.5267175572519065
RRG,133,12,6,nearst-neighbour,6.420515574650915
RRG,133,12,6,shift-1,4.736842105263159
RRG,133,12,6,router-cluster,4.630608917787232
RRG,133,12,6,random-permute,10.0
RRG,162,13,7,uniform,6.140830576416238
RRG,162,13,7,shift-half,0.6832298136645968
RRG,162,13,7,nearst-neighbour,8.722460177486617
RRG,162,13,7,shift-1,5.972850678733011
RRG,162,13,7,router-cluster,4.306077885039118
RRG,162,13,7,random-permute,10.0
RRG,183,14,7,uniform,6.662576115499873
RRG,183,14,7,shift-half,1.186131386861316
RRG,183,14,7,nearst-neighbour,9.223563321923985
RRG,183,14,7,shift-1,5.0
RRG,183,14,7,router-cluster,4.70730162018175
RRG,183,14,7,random-permute,10.0
RRG,242,17,9,uniform,6.366047087680916
RRG,242,17,9,shift-half,0.5555555555555598
RRG,242,17,9,nearst-neighbour,6.663605754514862
RRG,242,17,9,shift-1,5.0
RRG,242,17,9,router-cluster,4.429297865656478
RRG,242,17,9,random-permute,10.0
RRG,264,11,6,uniform,5.454030286586643
RRG,264,11,6,shift-half,0.7142857142857147
RRG,264,11,6,nearst-neighbour,7.402731013842083
RRG,264,11,6,shift-1,5.0
RRG,264,11,6,router-cluster,4.196239836064185
RRG,264,11,6,random-permute,10.0
