topo,V,D,EPR,traffic,ave_phi,std_phi,ave_time[s],std_time[s],ave_PeakRAM[B],std_PeakRAM[B]
DDF,36,5,3,uniform,6.766034327009936,0.0,0.0408930778503418,0.0007789976915488749,286248,35.77708763999664
DDF,36,5,3,shift-half,1.6666666666666667,0.0,0.02219114303588867,0.0001925738609976085,286236.8,10.73312629199899
DDF,36,5,3,nearst-neighbour,9.907407407407407,0.0,0.02423243522644043,0.005620167649166594,286236.8,10.73312629199899
DDF,36,5,3,shift-1,5.0,0.0,0.021604204177856447,0.0003396722059888114,286236.8,10.73312629199899
DDF,36,5,3,router-cluster,2.407407407407407,0.0,0.022030162811279296,0.00024382437585661386,286236.8,10.73312629199899
DDF,36,5,3,random-permute,10.0,0.0,0.02173480987548828,0.0004017197622920161,286236.8,10.73312629199899
DDF,114,8,4,uniform,7.43838028169014,0.0,0.34731316566467285,0.00393275382391388,4624060.8,10.73312629199899
DDF,114,8,4,shift-half,0.8333333333333334,0.0,0.27768807411193847,0.008336871508913817,4624060.8,10.73312629199899
DDF,114,8,4,nearst-neighbour,9.978070175438596,0.0,0.2799853324890137,0.0035064581556101784,4624060.8,10.73312629199899
DDF,114,8,4,shift-1,5.0,0.0,0.27923922538757323,0.010978859362568668,4624060.8,10.73312629199899
DDF,114,8,4,router-cluster,2.2967479674796754,0.0,0.2854121685028076,0.007642816222131938,4624060.8,10.73312629199899
DDF,114,8,4,random-permute,10.0,0.0,0.2769293308258057,0.005598433695773603,4624060.8,10.73312629199899
DDF,264,11,6,uniform,6.594514430447255,0.0,2.615600824356079,0.07093339337683732,25977956.8,10.73312629199899
DDF,264,11,6,shift-half,0.8333333333333379,0.0,2.0108510494232177,0.04603219137609007,25977956.8,10.73312629199899
DDF,264,11,6,nearst-neighbour,9.993686868686869,0.0,1.954181957244873,0.12692229089165197,25977939.2,43.30357952871795
DDF,264,11,6,shift-1,5.0,0.0,1.998288059234619,0.07324242011696258,25977956.8,10.73312629199899
DDF,264,11,6,router-cluster,1.9249512670565312,0.0,2.0272212505340574,0.05919779033456531,25977956.8,10.73312629199899
DDF,264,11,6,random-permute,10.0,0.0,1.9967846393585205,0.04252273981854272,25977956.8,10.73312629199899
Slimfly,18,5,3,uniform,8.412698412698411,0.0,0.006646537780761718,0.00012672666303212036,37460.8,10.73312629199899
Slimfly,18,5,3,shift-half,3.3333333333333335,0.0,0.005919361114501953,7.481018833471776e-05,37460.8,10.73312629199899
