topo,V,D,EPR,traffic,ave_phi
RRG,91,10,5,shift-1,0.9999999999999999
RRG,91,10,5,router-cluster,0.4958731519177197
RRG,91,10,5,random-permute,1.0
RRG,98,11,6,uniform,0.4593114241001572
RRG,98,11,6,shift-half,0.16666666666666663
RRG,98,11,6,nearst-neighbour,0.9982993197278912
RRG,98,11,6,shift-1,1.0000000000000002
RRG,98,11,6,router-cluster,0.43843843843843805
RRG,98,11,6,random-permute,1.0
RRG,114,8,4,uniform,0.3817114093959712
RRG,114,8,4,shift-half,0.16666666666666669
RRG,114,8,4,nearst-neighbour,0.9391124871001036
RRG,114,8,4,shift-1,0.7999999999999998
RRG,114,8,4,router-cluster,0.35202492211837955
RRG,114,8,4,random-permute,1.0
RRG,128,12,6,uniform,0.5180682201958843
RRG,128,12,6,shift-half,0.19047619047619044
RRG,128,12,6,nearst-neighbour,0.9986979166666669
RRG,128,12,6,shift-1,1.0
RRG,128,12,6,router-cluster,0.46135265700483147
RRG,128,12,6,random-permute,1.0
RRG,133,12,6,uniform,0.5017311929493208
RRG,133,12,6,shift-half,0.20512820512820487
RRG,133,12,6,nearst-neighbour,0.9987468671679199
RRG,133,12,6,shift-1,1.0000000000000002
RRG,133,12,6,router-cluster,0.4448282869335503
RRG,133,12,6,random-permute,1.0
RRG,162,13,7,uniform,0.4601482383998392
RRG,162,13,7,shift-half,0.19047619047619063
RRG,162,13,7,nearst-neighbour,0.9991181657848306
RRG,162,13,7,shift-1,0.9999999999999966
RRG,162,13,7,router-cluster,0.4272474225044887
RRG,162,13,7,random-permute,1.0
RRG,183,14,7,uniform,0.4826318518169415
RRG,183,14,7,shift-half,0.1860465116279073
RRG,183,14,7,nearst-neighbour,0.9992193598750981
RRG,183,14,7,shift-1,1.0
RRG,183,14,7,router-cluster,0.4265653741052593
RRG,183,14,7,random-permute,1.0
