V,D,M_id,phi_ECMP_ASP,phi_IT,phi_IT_fast,time_IT,time_IT_fast,attempts_IT,attempts_IT_fast
36,5,0,3.7385254979030975,5.744967937469482,4.8238654136657715,2.5648998218,0.2326612484,1676,2084.0
36,5,1,3.739973628734527,5.747529983520508,4.820181846618652,2.206116959,0.1099235242,1489,545.0
