V,D,M_id,phi_ECMP_ASP,phi_IT,phi_IT_fast,phi_IT_fast_diff,time_IT,time_IT_fast,time_IT_fast_diff,attempts_IT,attempts_IT_fast,attempts_IT_fast_diff
36,5,0,2.382349321528708,5.727218151092529,5.727218151092529,5.727218151092529,0.0015106236666666667,0.012149056333333333,0.012759371,22,151.0,151.0
36,5,1,1.5044109763126412,4.661927223205566,4.231812000274658,4.270130634307861,0.0027888533333333336,0.012128520666666668,0.012854738,133,710.0,914.0
36,5,2,0.5984215632222658,3.143066167831421,2.4972307682037354,2.515544891357422,0.0021915516666666667,0.011390191000000001,0.011574359333333334,68,545.0,545.0
36,5,3,0.5102827545861908,1.6395900249481201,1.6395900249481201,1.6395900249481201,0.0014869796666666668,0.009904882666666668,0.009918762999999999,23,28.0,17.0
36,5,4,0.33153256639988266,1.6943202018737793,1.4982550144195557,1.5058867931365967,0.003988713666666667,0.011663548666666667,0.011467143333333332,226,609.0,545.0
36,5,5,0.49252223502086606,2.120011806488037,2.0807039737701416,2.1072521209716797,0.0028892090000000002,0.012349707333333335,0.012504555666666667,111,698.0,684.0
36,5,6,0.8105445387728245,1.4504108428955078,1.4504108428955078,1.4504108428955078,0.0013614423333333334,0.009729394666666669,0.009766013666666669,13,15.0,1.0
36,5,7,0.9008664695082196,3.1080710887908936,2.9180071353912354,2.8664896488189697,0.0036408253333333335,0.013959105000000001,0.013555120666666668,161,965.0,813.0
36,5,8,1.0760973959747653,3.4767401218414307,3.0705771446228027,2.946443557739258,0.010404316666666667,0.012371126333333335,0.012154102666666666,310,644.0,573.0
36,5,9,0.7385909896033779,2.989196300506592,2.661306142807007,2.668883800506592,0.007056885666666667,0.012270686666666667,0.012418973,200,631.0,617.0
36,5,10,1.2316645106738784,3.332825183868408,3.0659637451171875,2.9899158477783203,0.014562270666666667,0.012600737666666667,0.012247168666666669,324,645.0,577.0
36,5,11,1.0776603317947955,3.3619279861450195,3.059638261795044,3.0145132541656494,0.028680250333333334,0.013222574333333334,0.012386601666666669,573,725.0,582.0
36,5,12,1.0611287271932108,3.39461350440979,2.93644642829895,2.8837461471557617,0.023835512333333336,0.012649681000000001,0.012271355333333336,540,642.0,545.0
36,5,13,1.1272608821275842,3.419100284576416,3.4679460525512695,3.3529653549194336,0.008240766666666666,0.014294447333333335,0.012771711333333333,263,888.0,597.0
36,5,14,1.3152250671199823,3.5384902954101562,3.434526205062866,3.1817433834075928,0.009752255333333334,0.013527513666666666,0.012763338333333334,268,758.0,602.0
36,5,15,1.5170932754979107,3.5636680126190186,3.525287389755249,3.4791982173919678,0.008912717333333334,0.018181371666666668,0.01945401266666667,258,1462.0,1640.0
36,5,16,1.6103404538379176,3.5907392501831055,3.471400737762451,3.4889423847198486,0.037583578,0.024012767333333334,0.019364810333333333,769,2457.0,1524.0
36,5,17,1.7568781697930271,3.536134719848633,3.4418444633483887,3.378321409225464,0.038452641,0.019538776333333334,0.018615589666666668,732,1565.0,1388.0
36,5,18,1.5858541437667166,3.4720804691314697,3.343078851699829,3.1565804481506348,0.014245001,0.01895202,0.016160033666666667,391,1570.0,897.0
36,5,19,1.8779311823983393,3.586787700653076,3.4096784591674805,3.3635659217834473,0.014603056000000001,0.014775938666666669,0.014279887,289,902.0,671.0
36,5,20,1.2078133254362644,3.481905460357666,3.3141961097717285,3.171455144882202,0.014669429000000001,0.013426241,0.013230184,334,681.0,588.0
36,5,21,1.1671737025485975,3.5221590995788574,3.2811508178710938,3.3019280433654785,0.012326036,0.01341878,0.013671983,288,715.0,714.0
36,5,22,1.0746819053365664,3.484260082244873,3.201382637023926,3.1274197101593018,0.012002819333333335,0.013248529,0.012867425666666668,324,665.0,572.0
36,5,23,0.8800365226980718,3.383286714553833,2.999556541442871,2.971749782562256,0.006905871666666667,0.013356736000000001,0.012860864,160,687.0,546.0
36,5,24,0.9096428270598916,3.5640053749084473,3.247345447540283,3.183485984802246,0.009982893666666668,0.014713878666666668,0.013307446,245,938.0,622.0
36,5,25,0.9662452925885151,3.3914005756378174,2.987123489379883,2.969109058380127,0.021773391333333333,0.013017916666666665,0.012794857666666668,415,611.0,581.0
36,5,26,1.206466222236875,3.8019604682922363,3.309628963470459,3.3046979904174805,0.020715151333333334,0.014658839,0.013370557333333333,501,765.0,650.0
36,5,27,0.8037510824221189,3.5893547534942627,3.185617446899414,3.1469805240631104,0.009422468666666668,0.015400985,0.014647232333333335,241,1101.0,853.0
36,5,28,0.9029974792510564,3.7994933128356934,3.312551259994507,3.4038138389587402,0.009859380666666667,0.014731382333333334,0.01356565566666667,270,992.0,716.0
36,5,29,1.0046418815926421,4.7435832023620605,3.673086404800415,3.855916738510132,0.021430693,0.012958336666666667,0.012444773333333334,569,630.0,545.0
36,5,30,0.9695013354695704,3.8124728202819824,3.8124728202819824,3.8124728202819824,0.0018215170000000001,0.010953093333333335,0.011111058666666666,38,47.0,68.0
36,5,31,0.8332568255841913,1.7769097089767456,1.7769097089767456,1.7769097089767456,0.0013434970000000001,0.010509588333333333,0.010833549999999999,6,9.0,5.0
36,5,32,2.029859043534694,4.8184733390808105,4.8184733390808105,4.8184733390808105,0.0016508686666666667,0.010986809,0.011086287,25,130.0,5.0
36,5,33,1.322270549024588,4.082355499267578,4.082355499267578,4.077917098999023,0.002750276,0.011971656666666669,0.013274929333333333,97,262.0,721.0
36,5,34,0.484782280855343,2.7790369987487793,2.1650125980377197,2.108751058578491,0.004685775,0.012074629333333335,0.01225390066666667,239,545.0,545.0
36,5,35,0.5022084246112525,1.971584677696228,1.790386438369751,1.8425629138946533,0.0030329133333333335,0.012171600999999999,0.012326833666666667,116,569.0,545.0
36,5,36,0.35658960475458834,1.814261555671692,1.6449329853057861,1.471848964691162,0.03604082666666667,0.012214816333333335,0.012380734,516,567.0,546.0
36,5,37,0.7996746394522565,2.4966111183166504,2.4966111183166504,2.4966111183166504,0.001999115,0.012268816000000002,0.010905993666666669,44,455.0,19.0
36,5,38,0.7865188846444733,2.2165472507476807,2.2165472507476807,2.2165472507476807,0.00194626,0.010846714333333334,0.010630056333333334,37,60.0,1.0
36,5,39,0.8781964319304323,3.428546667098999,2.8143203258514404,2.7754933834075928,0.011007748333333334,0.012593580666666668,0.012550261,278,570.0,545.0
36,5,40,0.9274097078677163,3.344360828399658,3.047276735305786,2.7732796669006348,0.02754288666666667,0.013789866,0.012738061,543,796.0,545.0
36,5,41,0.8473195803761628,3.302733898162842,3.1254820823669434,3.030773401260376,0.006894009,0.014514842,0.013389024666666667,196,791.0,607.0
36,5,42,1.0157376357402053,3.3361940383911133,2.4424307346343994,2.5066885948181152,0.031502788000000004,0.012734165,0.012553930666666666,742,552.0,545.0
36,5,43,1.2238968215244554,3.4212491512298584,2.829742431640625,2.9061901569366455,0.012125946666666667,0.012759998666666668,0.012748124333333333,323,622.0,545.0
36,5,44,1.0539010616610804,3.4453649520874023,3.3909268379211426,3.2820842266082764,0.010134575333333333,0.015385683333333336,0.014904895000000001,271,997.0,738.0
36,5,45,1.095666315372756,3.5139176845550537,3.35921311378479,3.0566318035125732,0.011529253666666668,0.015467783,0.013613906,289,678.0,545.0
36,5,46,1.838160837621722,3.5979161262512207,3.303623676300049,3.1875975131988525,0.025925834666666668,0.013771431,0.014106497,688,723.0,569.0
36,5,47,1.9162907784975258,3.6025965213775635,3.5469982624053955,3.460160970687866,0.055446465,0.023644345333333334,0.016502807,957,2186.0,848.0
36,5,48,2.014463731159217,3.5720317363739014,3.481987714767456,3.491255044937134,0.03553100566666667,0.021878912333333334,0.018167954666666666,776,1805.0,1213.0
36,5,49,1.8340330994337706,3.5117721557617188,3.5066514015197754,3.461113452911377,0.026720534333333337,0.022469953333333334,0.017522636,793,1976.0,1083.0
36,5,50,1.5338869789318534,3.454235792160034,3.4046037197113037,3.006561279296875,0.063783542,0.019925193333333337,0.016033740666666668,839,1594.0,733.0
36,5,51,1.409826069485276,3.587670087814331,3.417628288269043,3.1421844959259033,0.05184071066666667,0.014372515333333336,0.014246253,709,721.0,558.0
36,5,52,1.274024268369453,3.512810707092285,3.269923448562622,3.037306070327759,0.012593729000000001,0.013895664666666668,0.013367328666666666,323,737.0,545.0
36,5,53,1.2761842331470632,3.516892194747925,3.4479305744171143,3.229196548461914,0.030260078000000003,0.020134283333333333,0.013733977000000001,525,1836.0,552.0
36,5,54,1.1466134991143908,3.5105202198028564,3.2555623054504395,2.955141305923462,0.018774616333333334,0.015073779,0.013291409333333335,378,871.0,545.0
36,5,55,0.8618030902104786,3.4706294536590576,3.0109593868255615,2.7322030067443848,0.00820739,0.01365576966666667,0.013358504333333335,227,649.0,545.0
36,5,56,1.1339463542008807,3.5696163177490234,3.144454002380371,3.0991077423095703,0.009571203,0.014262696666666666,0.013374586333333336,277,773.0,547.0
