V,D,M_name,M_weight,ave_time_MP_APST4,std_time_MP_APST4,ave_peakRAM_MP_APST4,std_peakRAM_MP_APST4,ave_time_IT,std_time_IT,ave_peakRAM_IT, std_peakRAM_IT,ave_time_MD_MP_APST4,std_time_MD_MP_APST4,ave_peakRAM_MD_MP_APST4,std_peakRAM_MD_MP_APST4,ave_time_MD_IT,std_time_MD_IT,ave_peakRAM_MD_IT,std_peakRAM_MD_IT
36,5,uniform,0.3333333333333333,0.5005072593688965,0.05162298984646048,1746060,6763.1874142300685,0.11726584434509277,0.0001477556364053031,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_1,0.3333333333333333,0.38566365242004397,0.029607435753576227,1750866.4,8470.819391036239,0.003983592987060547,4.4691200688177464e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,half_shift,0.3333333333333333,0.38095798492431643,0.0021222888239953966,1749239.2,8297.482734741503,0.02037920951843262,7.53276280500021e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,MD,0,0,0,0,0,0,0,0,0,67.34009544849395,2.270255231141104,10.176958465576172,0.03422182940360497,0.16825779150000003,0.0004069238555229528,193,0.0
