V,D,M_name,M_weight,ave_time_MP_APST4,std_time_MP_APST4,ave_peakRAM_MP_APST4,std_peakRAM_MP_APST4,ave_time_IT,std_time_IT,ave_peakRAM_IT, std_peakRAM_IT,ave_time_MD_MP_APST4,std_time_MD_MP_APST4,ave_peakRAM_MD_MP_APST4,std_peakRAM_MD_MP_APST4,ave_time_MD_IT,std_time_MD_IT,ave_peakRAM_MD_IT,std_peakRAM_MD_IT
36,5,shift_1,0.009345794392523364,0.41814212799072265,0.05643236072580623,1749276.8,8777.514181133518,0.004546356201171875,0.00018364556882174285,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_2,0.009345794392523364,0.428464937210083,0.0686606553798142,1742848,44.8998886412873,0.01771836280822754,7.996631649282321e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_3,0.009345794392523364,0.38065595626831056,0.0034403260156381944,1749241.6,8798.620619165256,0.017702865600585937,5.781426867848088e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_4,0.009345794392523364,0.387999963760376,0.004225805812761114,1749241.6,8798.620619165256,0.019791030883789064,6.8510730961724e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_5,0.009345794392523364,0.3916822910308838,0.0021506811909958222,1749241.6,8798.620619165256,0.020321416854858398,0.00010614948331122083,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_6,0.009345794392523364,0.42528376579284666,0.04332107822952855,1742848,44.8998886412873,0.020353364944458007,9.537121646046471e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_7,0.009345794392523364,0.45627584457397463,0.0604409594715052,1742865.6,53.48644688142969,0.028090572357177733,5.378667132782639e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_8,0.009345794392523364,0.3879715442657471,0.00489468597320819,1752478.4,8828.001631173389,0.02907261848449707,0.00010949898545212793,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_9,0.009345794392523364,0.3903310298919678,0.001142133956939267,1752456,8807.384174657082,0.020913076400756837,9.238041575968535e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_10,0.009345794392523364,0.40588083267211916,0.034233153462672535,1752473.6,8783.339501579112,0.024974298477172852,0.00013877491276739193,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_11,0.009345794392523364,0.4249855995178223,0.055169132998721414,1742848,44.8998886412873,0.021399927139282227,9.158554209542516e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_12,0.009345794392523364,0.386419677734375,0.005499158939669024,1749252.8,8813.97907871354,0.02795858383178711,8.200167791645258e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_13,0.009345794392523364,0.38451337814331055,0.0019202724940213089,1749241.6,8798.620619165256,0.033389949798583986,0.0007616593118981175,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_14,0.009345794392523364,0.38964390754699707,0.002167395934089257,1749241.6,8798.620619165256,0.020633745193481445,6.632910281289173e-05,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_15,0.009345794392523364,0.40389118194580076,0.0351336641827213,1746044.8,7175.18523802696,0.02040066719055176,0.00013781497193135543,193,0.0,0,0,0,0,0,0,0,0
36,5,shift_16,0.009345794392523364,0.4529285907745361,0.05618411930304267,1742865.6,53.48644688142969,0.02428908348083496,8.686577337278648e-05,193,0.0,0,0,0,0,0,0,0,0
