V,D,M_name,M_weight,phi_ECMP_ASP,phi_MP_APST4,phi_IT,phi_MD_IT,phi_MD_MP_APST4,phi_MP_APST4_uniform,phi_MP_APST4_shift_1,phi_MP_APST4_halfshift
36,5,shift_1,0.009345794392523364,5.0,10.0,10.0,10.0,10.0,5.0,10.0,3.3333333333333335
36,5,shift_2,0.009345794392523364,2.5,8.834586466165414,8.421052932739258,7.2727274894714355,8.815688871718146,2.5,5.0,1.6666666666666667
36,5,shift_3,0.009345794392523364,1.6666666666666667,5.889724310776943,5.614030838012695,4.848481178283691,5.877125914478764,1.6666666666666667,3.3333333333333335,1.1111111111111112
36,5,shift_4,0.009345794392523364,1.6666666666666663,6.816827997021592,5.517236709594727,4.999996662139893,5.873057171784216,1.6666666666666663,1.6666666666666663,1.0000000000000002
36,5,shift_5,0.009345794392523364,1.6666666666666663,6.724960254372022,5.42372465133667,4.444441318511963,5.868994058785019,1.6666666666666663,1.111111111111111,0.9090909090909091
36,5,shift_6,0.009345794392523364,1.6666666666666667,5.785256410256411,4.961236476898193,3.809520959854126,5.686648253866497,1.6666666666666667,0.8333333333333334,0.8333333333333334
36,5,shift_7,0.009345794392523364,1.4285714285714282,6.205533596837944,4.705889701843262,4.000003814697266,5.368102804601929,1.4285714285714282,0.7692307692307692,0.7692307692307692
36,5,shift_8,0.009345794392523364,1.25,5.511363636363638,4.637681007385254,4.0,4.94887127614622,1.25,0.7142857142857143,0.7142857142857143
36,5,shift_9,0.009345794392523364,1.1111111111111114,4.592933947772656,3.999995231628418,3.3862392902374268,4.5903775811512,1.1111111111111114,0.6666666666666669,0.6666666666666669
36,5,shift_10,0.009345794392523364,1.25,4.500000000000002,3.8554205894470215,3.6641218662261963,4.271309761943254,1.0224438902742925,0.5882352941176471,0.5882352941176471
36,5,shift_11,0.009345794392523364,1.1111111111111112,4.090909090909091,3.7354042530059814,3.6363577842712402,3.9937147629632994,0.9447004608294821,0.5263157894736841,0.5263157894736841
36,5,shift_12,0.009345794392523364,0.8333333333333334,3.75,3.44085693359375,3.440856695175171,3.75,0.8333333333333334,0.4761904761904762,0.4761904761904762
36,5,shift_13,0.009345794392523364,0.9523809523809524,3.789473684210526,3.4532361030578613,3.4042537212371826,3.652979651162789,0.9090909090909092,0.5263157894736843,0.5263157894736843
36,5,shift_14,0.009345794392523364,1.111111111111111,3.8297872340425525,3.4782583713531494,3.333329439163208,3.5608529328421636,1.0,0.588235294117647,0.588235294117647
36,5,shift_15,0.009345794392523364,0.9523809523809524,3.445945945945947,3.232323169708252,3.232322931289673,3.394105135217268,1.1111111111111112,0.6666666666666669,0.6666666666666669
36,5,shift_16,0.009345794392523364,1.176470588235294,3.913043478260871,3.4042532444000244,3.2820494174957275,3.5907067157005192,1.25,0.7692307692307692,0.7692307692307692
36,5,shift_17,0.009345794392523364,1.4285714285714286,3.9560439560439553,3.478264093399048,3.2989723682403564,3.716375710034898,1.4285714285714286,0.8333333333333334,0.8333333333333334
36,5,shift_18,0.009345794392523364,1.6666666666666667,3.8511601584606674,3.4408576488494873,3.2820489406585693,3.8511601584606834,1.6666666666666667,0.8333333333333334,0.8333333333333334
36,5,shift_19,0.009345794392523364,1.4285714285714286,4.04494382022472,3.3333373069763184,3.33333683013916,3.9397642427212483,1.4285714285714286,0.8333333333333334,0.8333333333333334
36,5,shift_20,0.009345794392523364,1.25,4.090909090909092,3.5036494731903076,3.3333332538604736,4.03254138571786,1.25,0.8333333333333334,0.8333333333333334
36,5,shift_21,0.009345794392523364,1.1111111111111114,4.1297935103244825,3.33332896232605,3.333329200744629,4.129793510324485,1.1111111111111114,0.8333333333333335,0.8333333333333335
