V,D,perturbation_rate,repetition_id,MD_MP_training,MD_MP_verification,MD_MP_trained_on_verification_set
36,5,0.1,0,6.233998401944386,6.291471114439195,6.291471114439195
36,5,0.1,1,6.242864166751368,6.137091439421539,6.137091439421539
36,5,0.1,2,6.143836948890441,5.992938668555755,6.2720643536347405
36,5,0.1,3,6.311860421368459,6.135062501234594,6.135062501234594
36,5,0.1,4,6.217583918011077,6.393652605642899,6.393652605642899
36,5,0.1,5,6.129304906703146,6.247836026785443,6.247836026785443
36,5,0.1,6,6.154099994993506,6.185909573950939,6.267005735968194
36,5,0.1,7,6.157740320551536,6.23820308537506,6.23820308537506
36,5,0.1,8,6.167214500007801,6.28320101472298,6.28320101472298
36,5,0.1,9,6.153095379507851,6.24788571569192,6.24788571569192
36,5,0.2,0,7.6912194330269426,5.986143941201135,7.603504943915065
36,5,0.2,1,7.112241957994793,6.12774724034218,7.124365216211487
36,5,0.2,2,7.198105667309496,5.6918389639564495,7.747118661908003
36,5,0.2,3,7.366248396851195,6.12623610709188,7.894770626732311
36,5,0.2,4,7.724067220335488,5.77420155936286,7.68592631891203
36,5,0.2,5,7.737712889796499,6.341880159663016,7.35983917513688
36,5,0.2,6,7.281773006952516,6.1873941251308855,6.997875264635046
36,5,0.2,7,7.1973247456358775,5.74227599143321,7.375943025158431
36,5,0.2,8,7.792456971476198,6.255188416827701,7.213599294440088
36,5,0.2,9,7.3171551241848345,6.205654250802974,7.200141972018479
36,5,0.3,0,7.025762009893203,5.535538388246017,7.11512095611222
36,5,0.3,1,7.0148350874534735,5.874098431911729,7.019885506470181
36,5,0.3,2,7.090886959075079,5.727933179896179,7.247608814676
36,5,0.3,3,7.134817096257408,5.573497494795582,7.121239659784289
36,5,0.3,4,7.135482029792233,5.782067548416275,7.169906455053045
36,5,0.3,5,7.143411103741983,5.448255460371708,7.211043945810031
36,5,0.3,6,7.134503695324171,5.809224207663239,7.087886002861676
36,5,0.3,7,7.024259730855833,5.13971776300692,7.159380090054483
36,5,0.3,8,7.105183408048142,5.7938782694087605,6.26729151935712
36,5,0.3,9,7.099819258806422,5.617540967979619,7.235102373919846
36,5,0.4,0,6.963625775837556,5.8784596488729495,6.942435732420637
36,5,0.4,1,6.999067302341252,5.465772446637222,7.033784351099545
36,5,0.4,2,6.996267492217844,5.693742607005975,6.905326626257789
36,5,0.4,3,6.8246847406991495,5.4923694946610295,6.8071596076343655
36,5,0.4,4,6.874431672424684,5.3580078495594785,6.832728777896346
36,5,0.4,5,7.021891681559276,5.784766366120606,6.919789854057382
36,5,0.4,6,6.807383373362438,5.6799136055363535,6.334128975162778
36,5,0.4,7,6.966133391794357,5.617445702449266,6.876757803694284
36,5,0.4,8,6.946547632347979,5.689621664526055,6.981866735506641
36,5,0.4,9,6.895824014587947,5.770360290910968,7.012723007948424
36,5,0.5,0,6.803736342057655,5.781081529177517,6.783234706867105
36,5,0.5,1,6.718262250934067,5.396359888076402,6.952333178778764
36,5,0.5,2,6.658804991798343,5.49139081769657,6.895504512712216
36,5,0.5,3,6.693163039766419,4.672740278456991,6.417386884971193
36,5,0.5,4,6.778862751986785,5.82854023637276,6.7880076488308365
36,5,0.5,5,6.727307808549698,4.870728275257937,6.782601753938685
36,5,0.5,6,6.884261063377392,5.540369481558871,6.895820506688998
36,5,0.5,7,6.729424054012924,5.039624132896301,6.739941919616688
36,5,0.5,8,6.797216015390795,5.518199901179113,6.7915500356678375
36,5,0.5,9,6.775404551256976,5.090272866759629,6.779082838998412
36,5,0.6,0,6.825638536888118,5.428470268379606,6.8065858063025475
36,5,0.6,1,6.845858871926605,5.317599045493346,6.623741937804734
36,5,0.6,2,6.78899383454279,5.613226515535712,6.78113823116291
36,5,0.6,3,6.694278764424536,5.48082060845486,6.7051455996191
36,5,0.6,4,6.78019641596287,5.37921945717192,6.588439990547063
36,5,0.6,5,6.333449608353815,5.238134091714905,6.708050019811325
36,5,0.6,6,6.696962914790287,5.1854604793458625,6.702708239705021
36,5,0.6,7,6.694012306912821,5.339543383964626,6.58306115770261
36,5,0.6,8,6.822486949770918,5.382181721575695,6.686078355336803
36,5,0.6,9,6.722101397575394,5.307389308009575,6.691357866763502
36,5,0.7,0,6.692972625952621,4.776713466896193,6.653149344702789
36,5,0.7,1,6.664529064847336,5.430435828538358,6.488723399513566
36,5,0.7,2,6.66251455286749,5.665500601260123,6.712233104190121
36,5,0.7,3,6.674930527610433,5.620140830217674,6.745635043226975
36,5,0.7,4,6.685755182382511,5.218109342752268,6.666333324921327
36,5,0.7,5,6.675856583462989,5.365885155577522,6.668649974564499
36,5,0.7,6,6.568971785420053,5.479486605539882,6.606654792228512
36,5,0.7,7,6.695036633812968,5.203137108717102,6.598423065227512
36,5,0.7,8,6.616587773602693,5.564352637040414,6.675953698878008
36,5,0.7,9,6.7365256544240095,5.365364209903365,6.5861014190787195
36,5,0.8,0,6.601986446770229,5.411570964018115,6.774401474827268
36,5,0.8,1,6.62131895314525,5.414502609354939,6.656662908538583
36,5,0.8,2,6.582141503158352,5.2903577607910695,6.666061389477746
36,5,0.8,3,6.639719918190473,5.808706792914866,6.684153261703606
36,5,0.8,4,6.616836156840195,5.172316911002405,6.601607853004498
36,5,0.8,5,6.638678789309081,5.532947460071629,6.665770075170216
36,5,0.8,6,6.605372486557137,5.479602835151438,6.667069744657687
36,5,0.8,7,6.507248573040346,4.754796187050824,6.55220922651007
36,5,0.8,8,6.650874650104299,5.435874526294616,6.60710691532238
36,5,0.8,9,6.599544010297135,5.134235062655768,6.52077708223791
36,5,0.9,0,6.61586820566996,5.490164404412222,6.542947041652029
36,5,0.9,1,6.678957833411916,5.422588562250255,6.708133354939644
36,5,0.9,2,6.693364246091846,4.906598255903487,6.493068353001353
36,5,0.9,3,6.554441455894157,5.1985220408154245,6.380968359401249
36,5,0.9,4,6.576488363672907,5.526071337088142,6.624110941663154
36,5,0.9,5,6.243430304600117,5.173207393075449,6.593777898575793
36,5,0.9,6,6.640878997499738,4.906209723695406,6.526201827849298
36,5,0.9,7,6.513956556363373,5.399150986038906,6.582444491231581
36,5,0.9,8,6.64057679402407,5.252882780774207,6.6256354995773625
36,5,0.9,9,6.593806705567147,5.214302244402786,6.598511168477989
36,5,1.0,0,6.608435828217272,5.592152319665008,6.698427993403256
36,5,1.0,1,6.526179590215505,5.035499393706817,6.581225753433675
36,5,1.0,2,6.530229177988885,5.307735910263262,6.366374295322995
36,5,1.0,3,6.705323974105165,5.278202522069778,6.511303012882405
36,5,1.0,4,6.571760851188436,4.922044220856212,6.509343377975983
36,5,1.0,5,6.397356410219315,4.717123254456582,6.537979324032124
36,5,1.0,6,6.561726135791775,5.055153379707554,6.578896776095922
36,5,1.0,7,6.573046038127721,4.9330013056283235,6.469884647546428
36,5,1.0,8,6.530902397115751,4.780166486035791,6.523414754835961
36,5,1.0,9,6.560923931264224,5.533861454969729,6.607234710665385
36,5,0.0,0,NAN,NAN,NAN
