V,D,perturbation_rate,repetition_id,Nexullance_MP_optimal,Nexullance_MP_unperturbated,ECMP_ASP
36,5,0.3,9,7.301999564010978,1.610521025955735,5.258778331618418
36,5,0.4,0,7.261005782251163,1.48695343968183,4.952797107083291
36,5,0.4,1,7.113061240692717,1.5749861251637545,5.035326593195957
36,5,0.4,2,7.180977391897414,1.4672507249912388,4.571663829433687
36,5,0.4,3,7.264780937583039,1.4263554994826453,4.459668343525349
36,5,0.4,4,7.318855019056098,1.5861046110641641,4.556840950556695
36,5,0.4,5,6.919789854057381,1.4468617946458184,4.819318400023868
36,5,0.4,6,6.334128975162778,1.4341967927623076,4.806241235664827
36,5,0.4,7,7.384254824986137,1.6077228499328857,4.822461253194097
36,5,0.4,8,7.518222552492433,1.4555978965392438,5.002128959732249
36,5,0.4,9,7.461297345320254,1.4169519486537259,4.814908546372958
36,5,0.5,0,7.1645046515117885,1.4459909964240723,4.66817594530233
36,5,0.5,1,7.379538062655956,1.4047893969199512,4.880796010992364
36,5,0.5,2,7.173420961542583,1.509327556908521,4.840720264373088
36,5,0.5,3,6.41738688497119,1.5131665303233424,4.539595754596731
36,5,0.5,4,7.2674066096975976,1.4537692590929334,4.702870701476026
36,5,0.5,5,7.142799690395049,1.4054618579982587,4.8504596156014825
36,5,0.5,6,7.394622305216711,1.5075222906198462,4.75232314190315
36,5,0.5,7,7.11236867768486,1.4532605057152093,4.31069110227439
36,5,0.5,8,7.282540693082821,1.516458321611368,4.765386529164771
36,5,0.5,9,7.174889219505638,1.3761378356665293,4.421377987664352
36,5,0.6,0,7.263017973190533,1.5272046866353914,4.801382220981753
36,5,0.6,1,7.183900861758352,1.5201719560815843,4.63040262992987
36,5,0.6,2,7.255237117028091,1.479456661090738,4.883429073095368
36,5,0.6,3,7.190757161938167,1.514828996856129,4.495249848960307
36,5,0.6,4,6.958679824787482,1.4975040379138542,4.556260203384018
36,5,0.6,5,7.208656264488651,1.4553174559290272,4.767418895220317
36,5,0.6,6,7.174469144391524,1.3797048128997889,4.571074657610139
36,5,0.6,7,7.1091440007940205,1.315663573284291,4.647949090252476
36,5,0.6,8,6.6860783553368,1.4138824346352432,4.675137132457167
36,5,0.6,9,7.254180578736829,1.4292897425369362,4.612167192906008
36,5,0.7,0,7.194852126280334,1.3379552940579023,4.834305282448578
36,5,0.7,1,7.060120517670527,1.4285102869964967,4.426938084843308
36,5,0.7,2,6.936153213888061,1.3782390414176446,4.79384318469453
36,5,0.7,3,7.28959864712625,1.3459403657484097,4.678674014970388
36,5,0.7,4,7.2148955254259075,1.4262080012185885,4.769960589708729
36,5,0.7,5,6.909866932271189,1.3813751722419512,4.568447947835717
36,5,0.7,6,6.792626780630871,1.3607001865805461,4.7912474339099775
36,5,0.7,7,6.759605677318888,1.5081260367403502,4.2452381339257705
36,5,0.7,8,7.125024587121664,1.3555565245442844,4.190682547157048
36,5,0.7,9,7.079378112624845,1.4574300009631986,4.539943658403486
36,5,0.8,0,7.244220618505854,1.3745600636017368,4.515960219353829
36,5,0.8,1,7.07893415972854,1.4374687509533661,4.604436644585406
36,5,0.8,2,7.035632335257254,1.4309292678612016,4.467566957734102
36,5,0.8,3,7.151596446833306,1.425376282503465,4.796273846347604
36,5,0.8,4,6.689738316263527,1.3702996548315265,4.763313357442168
36,5,0.8,5,7.145654638305241,1.543956716976096,4.71717121502784
36,5,0.8,6,7.099533538645162,1.3622517415580058,4.694023744980182
36,5,0.8,7,7.1135536740520005,1.3990662825176425,4.267689056675369
36,5,0.8,8,7.150839871693902,1.5560948587426215,4.474338344485967
36,5,0.8,9,7.062389481629129,1.5191790749068075,4.469035051378089
36,5,0.9,0,6.94008555640167,1.3898446268534117,4.248420860171911
36,5,0.9,1,7.191297521658079,1.3404681199988915,4.748994720515818
36,5,0.9,2,6.98635439411403,1.3745073767451161,4.463160909108576
36,5,0.9,3,6.38096835940125,1.338189984041745,4.525194417574626
36,5,0.9,4,7.034100139059523,1.425672701452057,4.556696427200163
36,5,0.9,5,7.148496970134297,1.4440029694767744,4.388077211176296
36,5,0.9,6,6.967807762779317,1.284071359823648,4.3069600148295155
36,5,0.9,7,6.965297870394837,1.438661017414946,4.515243052265294
36,5,0.9,8,7.046202250004207,1.4162183695080355,4.193007052042177
36,5,0.9,9,7.120191784807316,1.4769565909515554,4.581148718853946
36,5,1.0,0,7.1900353740425444,1.3702703055635117,4.677504230689069
36,5,1.0,1,7.133526472565887,1.4484659874639192,4.57273139844536
36,5,1.0,2,6.674393032711432,1.38111576527255,4.3382347535732535
36,5,1.0,3,6.87395046453306,1.5263492973828436,4.309402354931955
36,5,1.0,4,6.898061695627122,1.4796725649810882,4.445737953693869
36,5,1.0,5,7.047405069825292,1.3473623291741192,4.560558857091451
36,5,1.0,6,7.029673829597446,1.4996879278057136,4.656255583481469
36,5,1.0,7,7.046929664846608,1.4191280439272889,4.223266236340164
36,5,1.0,8,7.066564384069396,1.3327327608349517,4.333284208000273
36,5,1.0,9,7.16776037782882,1.4843817901864154,4.722142172528878
36,5,0.0,0,9.907407407407407,1.9814814814814814,1.9814814814814814
