V,D,perturbation_rate,repetition_id,Nexullance_MP_optimal,Nexullance_MP_unperturbated,ECMP_ASP
36,5,0.1,0,7.513364313451656,1.7514991271282307,5.337569993542576
36,5,0.1,1,7.19146619190242,1.5678989384074464,4.987652893692962
36,5,0.1,2,7.083242866420862,1.6810694691265393,4.665610264517806
36,5,0.1,3,7.87721694691247,1.582043711365937,5.064222352915574
36,5,0.1,4,7.360287924004155,1.6107190173316979,5.123050918346599
36,5,0.1,5,7.601874856652938,1.6038647941409818,5.2442435534617005
36,5,0.1,6,7.516954411698648,1.6461404576332825,5.272305759660471
36,5,0.1,7,7.630766685722684,1.7363985896505103,5.204535604403761
36,5,0.1,8,7.695505013398567,1.6325258518406889,5.183607989361429
36,5,0.1,9,7.669305920538254,1.674834197757426,5.137774178886743
36,5,0.2,0,7.543183842416916,1.6209968475661483,4.665430515237496
36,5,0.2,1,7.342394624845916,1.4811745618196082,4.853985065530399
36,5,0.2,2,7.4029654549858455,1.5137904910702413,4.811860232398735
36,5,0.2,3,6.798025930974351,1.439510732996878,4.883758570572719
36,5,0.2,4,7.381738732994837,1.5168082703458248,4.58940068962009
36,5,0.2,5,7.200403551149258,1.508545424674652,4.541743387552306
36,5,0.2,6,6.9564571428343465,1.432707739603455,5.120621043460404
36,5,0.2,7,7.073902755551678,1.5564710415494376,4.720797508053705
36,5,0.2,8,7.486494291467094,1.3647780970934988,4.861996331664112
36,5,0.2,9,7.412773304180458,1.387293445640354,4.855720646975273
36,5,0.3,0,7.018821711300299,1.4767301449745494,4.955940929715292
36,5,0.3,1,7.247248855892146,1.4801515157070224,4.667660211127592
36,5,0.3,2,7.387152534649695,1.5679774178690946,4.834385701393256
36,5,0.3,3,7.353415432629454,1.409799845293674,4.962264682836144
36,5,0.3,4,7.160265780305099,1.338379425664132,4.85093353614393
36,5,0.3,5,7.380187829660063,1.4039464997409594,4.434236594198933
36,5,0.3,6,6.9862774291037875,1.2650154556778954,4.639922365455449
36,5,0.3,7,6.643371987968424,1.5200680948833278,4.42783130818376
36,5,0.3,8,7.196164731976556,1.5939453710401272,4.921965258223019
36,5,0.3,9,7.4697116256415255,1.50356865387752,4.874595668227904
36,5,0.4,0,6.6351013100302625,1.3847229957306848,4.564083162862852
36,5,0.4,1,6.822358128872457,1.4877962834040883,4.377371111952227
36,5,0.4,2,6.863628696811661,1.3909854890504252,4.645372026968861
36,5,0.4,3,7.038154994870485,1.4245914952121268,4.431048103339871
36,5,0.4,4,6.830693741326485,1.4350709018734378,4.456928213393888
36,5,0.4,5,7.060805151361496,1.4494346162019045,4.403282401547899
36,5,0.4,6,7.2698558853188,1.3438139817863541,4.703108444524022
36,5,0.4,7,7.1079002639397135,1.4524143707694332,4.158225604277777
36,5,0.4,8,7.020294938162898,1.4986084798348032,4.144158471812749
36,5,0.4,9,7.243481551740264,1.3861050819844405,4.891712680668738
36,5,0.5,0,7.023546811113969,1.4224569602510775,4.6507252006745565
36,5,0.5,1,6.997153271089644,1.3995902353109437,4.4752924468057795
