V,D,M_id,phi_ECMP_ASP,phi_IT,phi_MD_IT,phi_diff_IT,time_IT,time_MD_IT,time_diff_IT,attempts_IT,attempts_MD_IT,attempts_diff_IT
36,5,0,0.4973912123162696,1.5673184394836426,1.2218446731567383,1.5504862070083618,0.017042502600000002,0.6146275562,0.016184804,654,858,654.0
36,5,1,0.5719448781116255,1.381352186203003,1.3540047407150269,1.381352186203003,0.0021654852,0.6146275562,0.0047970602,0,858,220.0
36,5,2,0.4053596529107536,1.0869096517562866,1.0869096517562866,1.0869096517562866,0.0020293662,0.6146275562,0.0007696292,0,858,4.0
36,5,3,0.5933649038941808,1.5904377698898315,1.4517087936401367,1.5904377698898315,0.0035818922000000002,0.6146275562,0.0029119454,109,858,116.0
36,5,4,0.5017208866087347,1.5895464420318604,1.4745843410491943,1.5895464420318604,0.0037628488000000003,0.6146275562,0.005861193800000001,109,858,220.0
36,5,5,0.46577468274870476,1.2936116456985474,1.293611764907837,1.2936116456985474,0.0018844596000000002,0.6146275562,0.0007724034,0,858,1.0
36,5,6,0.46870639841657996,1.4388816356658936,1.431640863418579,1.4388816356658936,0.004001151400000001,0.6146275562,0.0028461446000000003,109,858,113.0
36,5,7,0.3611100092464383,0.7938793897628784,0.7938793897628784,0.7938793897628784,0.001732426,0.6146275562,0.0007376234000000001,0,858,0.0
36,5,8,0.42275192957330704,0.7650617957115173,0.7650617957115173,0.7650617957115173,0.0016852558000000001,0.6146275562,0.0007382224000000001,0,858,0.0
36,5,9,0.4853645424831456,0.81903076171875,0.81903076171875,0.81903076171875,0.0017383992000000001,0.6146275562,0.0007283396000000001,0,858,0.0
36,5,10,0.4111159536325316,0.5988291501998901,0.5988292098045349,0.5988291501998901,0.0016232368000000002,0.6146275562,0.0007157622000000001,0,858,0.0
36,5,11,0.37427393260010056,0.3742738962173462,0.3742738962173462,0.3742738962173462,0.001567485,0.6146275562,0.0006423570000000001,0,858,0.0
36,5,12,0.19711586957832564,0.31478285789489746,0.31478285789489746,0.31478285789489746,0.0016023480000000002,0.6146275562,0.000596878,0,858,0.0
36,5,13,0.16203211802920375,0.1620321273803711,0.1620321124792099,0.1620321273803711,0.0015818006000000002,0.6146275562,0.0005713554000000001,0,858,0.0
36,5,14,0.12364647188209679,0.12364647537469864,0.12364647537469864,0.12364647537469864,0.0015736244000000002,0.6146275562,0.0005746600000000001,0,858,0.0
36,5,15,0.2881502437862848,0.28815025091171265,0.28815025091171265,0.28815025091171265,0.0016112478000000002,0.6146275562,0.0006146276,0,858,0.0
36,5,16,0.28092821177183136,0.5411266088485718,0.5411266088485718,0.5411266088485718,0.0016436284,0.6146275562,0.0007820402000000001,0,858,3.0
36,5,17,0.5233932852142404,1.0748214721679688,1.0748214721679688,1.0748214721679688,0.001868979,0.6146275562,0.0008854900000000001,0,858,6.0
36,5,18,0.5915563483577975,1.5417166948318481,1.5417166948318481,1.5417166948318481,0.0018939384,0.6146275562,0.0009390024,0,858,7.0
36,5,19,0.7032205019336932,1.456384539604187,1.456384539604187,1.456384539604187,0.0018505274000000002,0.6146275562,0.0008535737999999999,0,858,3.0
36,5,20,0.6675266485455673,1.916312336921692,1.9163122177124023,1.916312336921692,0.0021905754000000003,0.6146275562,0.0025476796,0,858,113.0
36,5,21,0.836276080410513,2.0700528621673584,2.0318613052368164,2.0700528621673584,0.0020454896,0.6146275562,0.0028989798,0,858,116.0
36,5,22,1.061673950072834,2.1083269119262695,2.010026693344116,2.1083269119262695,0.0020585932,0.6146275562,0.0014148608000000003,0,858,25.0
36,5,23,0.8776711313240882,1.43174409866333,1.43174409866333,1.43174409866333,0.0017093182,0.6146275562,0.0007791660000000001,0,858,0.0
36,5,24,0.9337046776095389,2.073007106781006,1.9913827180862427,2.073007106781006,0.002144126,0.6146275562,0.0017288824,0,858,36.0
36,5,25,1.2398261695990325,1.919661283493042,1.919661283493042,1.919661283493042,0.0018294884000000001,0.6146275562,0.0009987842,0,858,7.0
