V,D,M_id,phi_ECMP_ASP,phi_IT,phi_MD_IT,phi_diff_IT,time_IT,time_MD_IT,time_diff_IT,attempts_IT,attempts_MD_IT,attempts_diff_IT
36,5,0,1.5922619047619049,3.6817240715026855,2.626474142074585,3.6244359016418457,0.0282492656,0.5266353354000001,0.0176929622,524,1804,447.0
36,5,1,2.304445203833539,5.679000377655029,5.679000377655029,5.679000377655029,0.0019609482,0.5266353354000001,0.001012717,0,1804,21.0
36,5,2,1.4740778236571097,4.6086883544921875,4.282385349273682,4.6086883544921875,0.0054509426000000005,0.5266353354000001,0.0035981258,218,1804,145.0
36,5,3,1.4709750133036177,3.767723321914673,3.4746127128601074,3.767723321914673,0.002890047,0.5266353354000001,0.0031535718000000003,0,1804,120.0
36,5,4,0.830971717456845,2.291708469390869,2.291708469390869,2.291708469390869,0.0020910174000000003,0.5266353354000001,0.0010797006,0,1804,15.0
36,5,5,0.44730409123879783,2.1966803073883057,2.1966805458068848,2.1966803073883057,0.0020439608,0.5266353354000001,0.0030672996000000005,0,1804,111.0
36,5,6,0.34447714539804974,1.7922807931900024,1.7922807931900024,1.7922807931900024,0.005636570800000001,0.5266353354000001,0.0031097006,218,1804,114.0
36,5,7,0.3364597869825199,1.704086422920227,1.635678768157959,1.7107346057891846,0.011822884,0.5266353354000001,0.012228136,306,1804,332.0
36,5,8,0.3771919368157337,1.0283275842666626,1.0283275842666626,1.0283275842666626,0.0022705844,0.5266353354000001,0.0008466553999999999,0,1804,2.0
36,5,9,0.2707481087252779,1.4946348667144775,1.458580493927002,1.4946348667144775,0.004579752,0.5266353354000001,0.00410968,109,1804,156.0
36,5,10,0.22646449271082172,1.2479809522628784,1.2147126197814941,1.261160969734192,0.010728008200000002,0.5266353354000001,0.0314470696,301,1804,654.0
36,5,11,0.2228027870987735,0.966964840888977,0.966964840888977,0.966964840888977,0.002099478,0.5266353354000001,0.0008515184000000002,0,1804,0.0
36,5,12,0.2747109724780471,0.9726288318634033,0.9726288914680481,0.9726288318634033,0.0020414446,0.5266353354000001,0.0008502490000000002,0,1804,0.0
36,5,13,0.2659138368979488,0.9006904363632202,0.900690495967865,0.9006904363632202,0.002077319,0.5266353354000001,0.0008240866000000001,0,1804,0.0
36,5,14,0.3304581199493019,0.8920536041259766,0.8920536637306213,0.8920536041259766,0.0020997292,0.5266353354000001,0.0008414766000000001,0,1804,0.0
36,5,15,0.6185237013698307,1.4954301118850708,1.4954302310943604,1.4954301118850708,0.0022420450000000002,0.5266353354000001,0.0010341468000000002,0,1804,7.0
36,5,16,0.7155972739171773,2.2105090618133545,2.2105090618133545,2.2105090618133545,0.002695144,0.5266353354000001,0.0016569173999999999,0,1804,26.0
36,5,17,0.9135000315960659,3.3712158203125,2.0951290130615234,3.345041275024414,0.012219059,0.5266353354000001,0.0194724884,216,1804,302.0
36,5,18,0.6254059556069477,2.7923078536987305,2.378643035888672,2.5589511394500732,0.0154510366,0.5266353354000001,0.017625612800000003,264,1804,331.0
36,5,19,0.5009426702837176,2.2838656902313232,2.1326346397399902,2.1826608180999756,0.0088210382,0.5266353354000001,0.0054445224,159,1804,228.0
36,5,20,0.5932221626272463,1.669247031211853,1.669247031211853,1.669247031211853,0.0023591064000000003,0.5266353354000001,0.0009455959999999999,0,1804,0.0
36,5,21,0.7839523496358213,2.3170628547668457,2.268261671066284,2.3170628547668457,0.0028803400000000003,0.5266353354000001,0.0013941834,0,1804,15.0
36,5,22,0.9405223381784388,2.51236629486084,2.323258638381958,2.51236629486084,0.0034135498000000004,0.5266353354000001,0.0018275094000000003,0,1804,30.0
36,5,23,0.7868299043226462,1.9877372980117798,1.9877372980117798,1.9877372980117798,0.0026594920000000003,0.5266353354000001,0.001253481,0,1804,10.0
36,5,24,0.953311944831865,1.8054869174957275,1.8054869174957275,1.8054869174957275,0.0027361518000000003,0.5266353354000001,0.0012373748000000001,0,1804,9.0
36,5,25,0.7417082252605837,2.0040032863616943,2.0040032863616943,2.0040032863616943,0.0029174684,0.5266353354000001,0.0015016036,0,1804,19.0
36,5,26,0.642156314917755,2.0780720710754395,2.0780723094940186,2.0780720710754395,0.003305503,0.5266353354000001,0.0012971372000000001,0,1804,12.0
36,5,27,0.9795559159263002,3.1937527656555176,2.6168792247772217,3.1937527656555176,0.0048099738,0.5266353354000001,0.006058839600000001,109,1804,163.0
36,5,28,1.0687051509204464,3.348867654800415,2.7699151039123535,3.2694525718688965,0.014083499200000002,0.5266353354000001,0.044452520399999994,306,1804,654.0
36,5,29,1.5092469743404868,3.4335474967956543,2.9338738918304443,3.3094918727874756,0.024981628800000003,0.5266353354000001,0.0377292146,418,1804,654.0
36,5,30,1.4927679068866118,3.005366802215576,2.505232810974121,3.005366802215576,0.0026199886,0.5266353354000001,0.0018068016000000002,0,1804,19.0
36,5,31,1.2796012889574238,2.566654682159424,2.350512742996216,2.566654682159424,0.0023284602,0.5266353354000001,0.0016603092,0,1804,14.0
36,5,32,1.5055328366390937,2.649477481842041,2.649477481842041,2.649477481842041,0.0021093154,0.5266353354000001,0.0014042522,0,1804,8.0
36,5,33,1.5846560210895064,2.6592209339141846,2.590705156326294,2.6592209339141846,0.002127076,0.5266353354000001,0.0015028679999999999,0,1804,12.0
