V,D,M_id,phi_ECMP_ASP,phi_IT,phi_MD_IT,phi_diff_IT,time_IT,time_MD_IT,time_diff_IT,attempts_IT,attempts_MD_IT,attempts_diff_IT
36,5,0,2.1511461902431064,7.546333312988281,6.668722152709961,7.60015869140625,0.0129676504,0.24640604880000003,0.010149844000000002,654,2539,654.0
36,5,1,1.5141374596072583,5.319339275360107,4.080996513366699,5.3446879386901855,0.0154193838,0.24640604880000003,0.023663702000000002,654,2539,654.0
36,5,2,1.2219288623589537,4.0889739990234375,3.8544256687164307,4.083058834075928,0.0265676434,0.24640604880000003,0.0240638102,431,2539,449.0
36,5,3,1.0024068507442643,3.453352928161621,3.041111469268799,3.4377286434173584,0.014936602400000002,0.24640604880000003,0.015235258800000002,306,2539,300.0
36,5,4,1.310173488293751,3.332261562347412,3.260503053665161,3.5297253131866455,0.0245608972,0.24640604880000003,0.0132074728,491,2539,361.0
36,5,5,1.2354783915051255,3.526899576187134,2.9392707347869873,3.6465258598327637,0.0148242908,0.24640604880000003,0.024727759400000004,337,2539,520.0
36,5,6,1.1493003175638639,3.437669515609741,3.122021436691284,3.319721221923828,0.012088769000000001,0.24640604880000003,0.029091877,236,2539,401.0
36,5,7,1.0641831722126958,3.394304037094116,3.149535655975342,3.29832124710083,0.013016888800000001,0.24640604880000003,0.0259494486,302,2539,427.0
36,5,8,1.4904918820581472,3.532168388366699,3.2881360054016113,3.4372494220733643,0.050169349200000005,0.24640604880000003,0.0414868212,654,2539,654.0
36,5,9,1.1435168549793056,3.4556941986083984,2.821542978286743,3.3394088745117188,0.0164435254,0.24640604880000003,0.013461237800000001,353,2539,308.0
36,5,10,1.0816848125465799,3.443916082382202,3.0264546871185303,3.3596150875091553,0.020462774200000002,0.24640604880000003,0.0336859882,383,2539,407.0
36,5,11,1.206083948319612,3.54748272895813,3.231048345565796,3.5090103149414062,0.0136334664,0.24640604880000003,0.010340356200000001,325,2539,227.0
36,5,12,1.4810045615984109,3.635592460632324,3.455677032470703,3.6559276580810547,0.0129205276,0.24640604880000003,0.045793512,325,2539,654.0
36,5,13,2.0803416396827634,3.59409499168396,3.3994076251983643,3.502837657928467,0.012010179800000001,0.24640604880000003,0.0411301232,279,2539,425.0
36,5,14,1.4807511452234325,3.4924163818359375,3.350163459777832,3.5396995544433594,0.009844450400000001,0.24640604880000003,0.0139499906,274,2539,324.0
36,5,15,1.6881489589785796,3.537773370742798,3.1706907749176025,3.5444390773773193,0.019003845600000003,0.24640604880000003,0.0305341462,654,2539,413.0
36,5,16,0.9836890782187964,3.4329025745391846,2.876795530319214,3.475254774093628,0.0164579912,0.24640604880000003,0.06477586660000001,408,2539,654.0
36,5,17,1.579040479428578,3.467545747756958,3.2539374828338623,3.368600845336914,0.0210509094,0.24640604880000003,0.0664502836,473,2539,654.0
36,5,18,1.883746828929012,3.486546754837036,3.338629722595215,3.492828130722046,0.0088242726,0.24640604880000003,0.08120699220000002,205,2539,654.0
36,5,19,1.588999592145895,3.7588248252868652,3.2163760662078857,3.703145980834961,0.0295946306,0.24640604880000003,0.0573810182,613,2539,654.0
36,5,20,1.2466240429844173,3.5716559886932373,3.454373598098755,3.691009998321533,0.019119957400000002,0.24640604880000003,0.051487311,379,2539,654.0
36,5,21,1.1114998762090085,3.428640365600586,3.188847780227661,3.3076987266540527,0.016231267,0.24640604880000003,0.043255371,307,2539,485.0
36,5,22,1.123848556992034,3.3470349311828613,3.265721082687378,3.4315946102142334,0.0153254696,0.24640604880000003,0.0200414676,309,2539,331.0
36,5,23,1.6179001243449687,3.505319356918335,3.2354061603546143,3.352846622467041,0.0206165526,0.24640604880000003,0.0441430308,385,2539,504.0
36,5,24,1.0973987183664604,3.4767842292785645,3.289910316467285,3.293203115463257,0.0288079834,0.24640604880000003,0.0528396136,512,2539,545.0
36,5,25,1.1482049970154347,3.4213595390319824,3.139793634414673,3.4296696186065674,0.0139113288,0.24640604880000003,0.062874502,318,2539,654.0
36,5,26,1.242929292929293,3.553234815597534,3.377013683319092,3.538543462753296,0.014523140600000001,0.24640604880000003,0.06397007260000001,314,2539,654.0
36,5,27,1.2225607004242263,3.429548740386963,2.923260450363159,3.3949079513549805,0.014921367400000001,0.24640604880000003,0.0801590342,326,2539,654.0
36,5,28,1.036143503324566,3.5093982219696045,3.287696599960327,3.3129591941833496,0.013192554200000001,0.24640604880000003,0.088887901,308,2539,654.0
36,5,29,1.2021543108038513,4.188372611999512,3.801896333694458,4.107753276824951,0.0217878126,0.24640604880000003,0.07175761600000001,405,2539,654.0
36,5,30,1.6436353242527184,5.520850658416748,4.42340087890625,5.55994176864624,0.028663026200000004,0.24640604880000003,0.04464080800000001,654,2539,654.0
36,5,31,2.329966464071006,5.17477560043335,7.207085609436035,8.339826583862305,0.0037220146000000003,0.24640604880000003,0.0409639958,110,2539,654.0
