V,D,M_id,phi_ECMP_ASP,phi_IT,phi_MD_IT,phi_diff_IT,time_IT,time_MD_IT,time_diff_IT,attempts_IT,attempts_MD_IT,attempts_diff_IT
36,5,0,2.5324602641593916,8.233261108398438,7.439146518707275,8.233261108398438,0.0050625502,0.3730786432,0.0038805248,218,3025,235.0
36,5,1,1.5236242807358786,5.495269298553467,4.499740123748779,5.550313472747803,0.0116737474,0.3730786432,0.011478287200000001,419,3025,654.0
36,5,2,1.4659004601706653,4.912506580352783,3.68060302734375,4.885622501373291,0.009552868800000001,0.3730786432,0.0258997026,537,3025,654.0
36,5,3,1.0686687741482264,4.982598781585693,3.945812940597534,4.512797832489014,0.029326640600000002,0.3730786432,0.015871400400000003,654,3025,386.0
36,5,4,1.1227135244130777,4.2048444747924805,3.6522834300994873,4.2477898597717285,0.028990282000000003,0.3730786432,0.0342661536,615,3025,559.0
36,5,5,1.2446359268947358,3.8564419746398926,3.6520228385925293,3.8356611728668213,0.013939075600000001,0.3730786432,0.0064262152,333,3025,243.0
36,5,6,0.9298047366332368,3.405642032623291,3.0824644565582275,3.4993703365325928,0.013140602000000001,0.3730786432,0.027989833400000004,347,3025,489.0
36,5,7,1.072329628187939,3.390716075897217,2.762066125869751,3.408966302871704,0.012560122800000002,0.3730786432,0.034424109800000005,313,3025,526.0
36,5,8,1.0904874770420987,3.413713216781616,3.0308332443237305,3.424830913543701,0.011689434600000001,0.3730786432,0.0105813608,337,3025,290.0
36,5,9,1.3850238623378368,3.433737277984619,2.9835963249206543,3.4225575923919678,0.016567995800000002,0.3730786432,0.0282068572,395,3025,581.0
36,5,10,1.4064426940366788,3.5010647773742676,3.0766963958740234,3.608327865600586,0.017778559200000002,0.3730786432,0.0408308718,395,3025,654.0
36,5,11,1.0736366871274798,3.454073667526245,2.6232221126556396,3.457068920135498,0.0443867806,0.3730786432,0.0507296074,654,3025,654.0
36,5,12,1.039066636411769,3.3523988723754883,2.960998296737671,3.410768985748291,0.011709810400000001,0.3730786432,0.027684177200000003,289,3025,404.0
36,5,13,1.1663048089640886,3.393972873687744,3.1070263385772705,3.362034559249878,0.0192376666,0.3730786432,0.0636601594,445,3025,654.0
36,5,14,1.0056063214585267,3.3351635932922363,2.918863296508789,3.4049925804138184,0.0122687972,0.3730786432,0.014160573200000002,291,3025,320.0
36,5,15,1.1765088514615667,3.398890256881714,2.9196276664733887,3.5078232288360596,0.0222436516,0.3730786432,0.040219740200000006,482,3025,654.0
36,5,16,1.1696911515752095,3.4337098598480225,2.986285924911499,3.5422632694244385,0.018576924800000002,0.3730786432,0.038000831400000004,654,3025,654.0
36,5,17,1.4057372245663382,3.2493462562561035,3.182776689529419,3.4282305240631104,0.009619043400000001,0.3730786432,0.0147416944,263,3025,283.0
36,5,18,1.0628546486250545,3.4966773986816406,2.869558811187744,3.4907453060150146,0.0153979518,0.3730786432,0.06209659940000001,355,3025,654.0
36,5,19,0.9889548540721432,3.344214677810669,2.5615010261535645,3.3450489044189453,0.015960600000000002,0.3730786432,0.016920556000000003,371,3025,305.0
36,5,20,1.1398731640615793,3.411025285720825,2.8848984241485596,3.348140239715576,0.0311792164,0.3730786432,0.0545283066,563,3025,654.0
