V,D,M_id,phi_ECMP_ASP,phi_IT,phi_MD_IT,phi_diff_IT,time_IT,time_MD_IT,time_diff_IT,attempts_IT,attempts_MD_IT,attempts_diff_IT
36,5,0,1.1790191316133096,3.2851388454437256,2.963536500930786,3.214906930923462,0.023199458200000002,0.0335660714,0.0333259934,654,707,585.0
36,5,1,1.5793865074733393,3.6801321506500244,3.2435100078582764,3.648850679397583,0.026609883400000003,0.0335660714,0.034054581400000006,472,707,654.0
36,5,2,1.3778760909739534,3.6158764362335205,3.22527813911438,3.6546614170074463,0.020946924800000002,0.0335660714,0.0293184314,391,707,506.0
36,5,3,1.5205224775126733,3.372694492340088,3.2097089290618896,3.6019434928894043,0.0097196094,0.0335660714,0.013677273600000001,204,707,408.0
36,5,4,1.543168489267315,3.6198103427886963,3.168780565261841,3.589742660522461,0.026824714000000003,0.0335660714,0.0264096448,654,707,654.0
36,5,5,1.6503464561490064,3.6687076091766357,3.4474904537200928,3.7751426696777344,0.025988181600000004,0.0335660714,0.030164718,501,707,654.0
36,5,6,1.3393536575659741,3.6625726222991943,3.250431776046753,3.570570945739746,0.025539399,0.0335660714,0.0157949752,654,707,413.0
36,5,7,1.3839140636037641,3.1514322757720947,2.7397515773773193,2.985625743865967,0.019516095400000003,0.0335660714,0.021441232600000002,654,707,654.0
