V,D,perturbation_rate,repetition_id,MD_MP_phis_training,MD_MP_phis_verification,MD_MP_phis_trained_on_verification_set
36,5,0.1,0,6.82251261489413,3.456815503000411,6.854949729626118
36,5,0.1,1,6.8254338388817635,3.457712100763341,6.828474707265356
36,5,0.1,2,6.826617010800744,3.494739982337851,6.834666060089912
36,5,0.1,3,6.855809657890643,3.491058072884229,6.831883813896883
36,5,0.1,4,6.802269972972544,3.5277089682944487,6.825856951919371
36,5,0.1,5,6.844988028080267,3.4911625979674805,6.845224628668736
36,5,0.1,6,6.824761870580194,3.451951200093689,6.839043527634631
36,5,0.1,7,6.797864184445472,3.4978594217219863,6.775261483863182
36,5,0.1,8,6.820083139252295,3.4457950018474435,6.8300039421823895
36,5,0.1,9,6.85887662420003,3.4810479707770847,6.805401371372714
36,5,0.2,0,6.846809509288907,3.837468171346678,6.814865480534507
36,5,0.2,1,6.8201365915612335,3.8948036033644917,6.85972722975856
36,5,0.2,2,6.78684775582976,3.8439150775112503,6.78870741182392
36,5,0.2,3,6.800599663433956,3.7995522962476933,6.820720506676828
36,5,0.2,4,6.809518854512975,3.846630057575391,6.851152694786099
36,5,0.2,5,6.742487083498087,3.8909450237043433,6.775686249065899
36,5,0.2,6,6.796739918271761,3.8557624092899117,6.804544269856958
36,5,0.2,7,6.832621034622641,3.8549289990692,6.8485405609514425
36,5,0.2,8,6.789798934244777,3.8398731347408694,6.800856995751659
36,5,0.2,9,6.797769238634078,3.777536719482007,6.767698536815777
36,5,0.3,0,6.727596578930142,4.0823851419875306,6.8001353203525845
36,5,0.3,1,6.893947899626182,4.090285088167751,6.734944324046972
36,5,0.3,2,6.777376404855197,4.22194304456631,6.815193935323143
36,5,0.3,3,6.818155405311114,4.169350081999564,6.774836473687879
36,5,0.3,4,6.798466410032233,4.127914020423817,6.747713984665188
36,5,0.3,5,6.809323947972469,4.151705017036941,6.753613046685075
36,5,0.3,6,6.838700385317888,4.414070804604718,6.831128051264161
36,5,0.3,7,6.798149381249851,4.280957744425662,6.7537592458708575
36,5,0.3,8,6.8194625009179655,4.4240344251215475,6.719139430950911
36,5,0.3,9,6.762507652327315,4.2871849902123484,6.860439157238913
36,5,0.4,0,6.7804245829554874,4.550722914372899,6.739878534477361
36,5,0.4,1,6.77412335345844,4.4447333632642945,6.745157680782417
36,5,0.4,2,6.758856655166742,4.279028831346745,6.727250480392403
36,5,0.4,3,6.653852405668791,4.409077587356443,6.793757007193249
36,5,0.4,4,6.82914646533208,4.616260055962989,6.689317418071664
36,5,0.4,5,6.830084866182002,4.406182279858208,6.802830308234676
36,5,0.4,6,6.700912264142493,4.442731664009021,6.670790692153797
36,5,0.4,7,6.768481775551671,4.345476325794364,6.702368484823302
