V,D,perturbation_rate,repetition_id,MD_MP_phis_training,Nexullance_MP_APST_original_phis,ECMP_ASP_phis
36,5,0.1,0,7.428927598186071,1.6688501075709041,5.192195113852513
36,5,0.1,1,7.17992830219975,1.7150995115817298,5.313552559091726
36,5,0.1,2,8.03926180600853,1.701818098860093,5.37811735399638
36,5,0.1,3,7.732180377451902,1.5490658845694238,5.3156667270249995
36,5,0.1,4,7.439712717486223,1.6368909937136924,5.345993378879752
36,5,0.1,5,7.167461924106169,1.523498298545129,5.240503335856522
36,5,0.1,6,7.261227123653487,1.580061843602906,5.148178733937362
36,5,0.1,7,7.53118173968532,1.749967348866366,5.290121454952916
36,5,0.1,8,7.51521725065445,1.7765724927105795,5.269489873930813
36,5,0.1,9,7.736353513652928,1.6454184468642774,5.203397213618153
36,5,0.2,0,6.818845550918706,1.4787585310954374,4.746813596637984
36,5,0.2,1,6.967044661909622,1.5965663372158578,5.037806325772068
36,5,0.2,2,7.711090592785808,1.5128756580334537,4.625680336970948
36,5,0.2,3,7.144022015319048,1.3914507654676986,4.755511338816262
36,5,0.2,4,7.675140585606372,1.4924079978750588,4.9720359345277645
36,5,0.2,5,6.9916390267601125,1.4486048609398006,4.730693156952794
36,5,0.2,6,7.69420319178628,1.5081453188472171,4.772397768698438
36,5,0.2,7,7.227399652831417,1.5302405891316306,4.763192942904375
36,5,0.2,8,6.664684141201953,1.4799069255844133,4.805735821245635
36,5,0.2,9,6.830502228832328,1.3539352541963385,5.0189205377030115
36,5,0.3,0,7.442504111858234,1.3478647956445757,4.728941026116923
36,5,0.3,1,7.334991225912322,1.5191758821277754,4.762282775629563
36,5,0.3,2,7.239817624193678,1.4538347634926694,4.681763622797187
36,5,0.3,3,7.26702425021099,1.4633789941076076,4.544777433677769
36,5,0.3,4,6.892583236803403,1.4330571109454502,4.064707737158094
36,5,0.3,5,7.0958380611057414,1.3938236445637058,4.610113999207185
36,5,0.3,6,7.145993038047322,1.4502041705605049,4.446785141515665
36,5,0.3,7,7.433507843493121,1.4194553731891826,4.6463259120645795
36,5,0.3,8,7.398542367493972,1.4486589178024643,4.373198362185422
36,5,0.3,9,7.483070207508568,1.5250303466393194,4.653066893610205
