V,D,perturbation_rate,repetition_id,MD_MP_phis_training,MD_MP_phis_verification,MD_MP_phis_trained_on_verification_set
36,5,0.1,0,5.365776106730619,5.337569993542576,5.337569993542576
36,5,0.1,1,5.218254475996002,5.32041983302411,5.32041983302411
36,5,0.1,2,5.322118506089351,5.362681533382364,5.362681533382364
36,5,0.1,3,5.305992147329697,5.288588604030634,5.288588604030634
36,5,0.1,4,5.275686665560988,5.3494463864109365,5.3494463864109365
36,5,0.1,5,5.263419176750336,5.2442435534617005,5.2442435534617005
36,5,0.1,6,5.277394255391926,5.272305759660471,5.272305759660471
36,5,0.1,7,5.324476056101297,5.381267530674601,5.381267530674601
36,5,0.1,8,5.357460650168361,5.183607989361429,5.183607989361429
36,5,0.1,9,5.257862305714691,5.40630601751435,5.40630601751435
36,5,0.2,0,6.944211667740301,5.56786971050006,6.892705548403967
36,5,0.2,1,7.001148604454782,5.507517891800256,6.825273958540386
36,5,0.2,2,6.880458520625516,5.286624837774867,6.994230901944156
36,5,0.2,3,7.045336945633903,5.427544210275931,6.798025930974351
36,5,0.2,4,6.853993349474057,5.763490913963996,6.830150785939463
36,5,0.2,5,6.9483530772850415,5.354978896478472,6.944552972194767
36,5,0.2,6,6.761110041821309,5.8055800032832625,6.9564571428343465
36,5,0.2,7,6.995419535495707,5.524314381263942,6.978138767867875
36,5,0.2,8,7.0095690464601645,5.742018407155877,7.052897731434381
36,5,0.2,9,6.905980578651998,5.6108125314236945,6.960152764374892
36,5,0.3,0,6.751151940133695,5.429475112095789,6.765249847514907
36,5,0.3,1,6.806699170842562,5.606365504668926,6.782299674167335
36,5,0.3,2,6.610024876136344,5.646027813374618,6.852578084523183
36,5,0.3,3,6.753800819342287,5.754098934044889,6.818899927843705
36,5,0.3,4,6.8283226019581305,5.325634131948256,6.846147167406907
36,5,0.3,5,6.759691650752699,5.475266784305254,6.803970671413041
36,5,0.3,6,6.78595798013728,5.979611703456957,6.695140845116731
36,5,0.3,7,6.83547567576648,5.480861668873291,6.643371987968423
36,5,0.3,8,6.648150838302938,5.635058586038826,6.808068924724329
36,5,0.3,9,6.771332312264582,5.494937124278784,6.798112327937649
36,5,0.4,0,6.744264660247382,5.388785192969556,6.557723276810993
36,5,0.4,1,6.7385555922803615,5.2378664807109825,6.384990603055655
36,5,0.4,2,6.5831692218740905,5.295442881603781,6.660014852509224
36,5,0.4,3,6.67721267678677,5.197627012944626,6.541184037667823
36,5,0.4,4,6.335919259135429,5.439595022754073,6.632996689119511
36,5,0.4,5,6.695739245543599,5.3487499848882125,6.5958723716519705
36,5,0.4,6,6.653317826955783,5.378153002761344,6.653770721217597
36,5,0.4,7,6.730188007530406,5.112114508391499,6.697014536896436
36,5,0.4,8,6.67241142432627,5.4097183747163395,6.463140825154819
