V,D,perturbation_rate,repetition_id,MD_MP_phis_training,Nexullance_MP_APST_original_phis,ECMP_ASP_phis
36,5,0.1,0,7.17021008891032,7.025322314867158,5.089952366901651
36,5,0.1,1,7.166053796410744,7.040441979432838,5.0722616173556565
36,5,0.1,2,7.165108761568829,7.042020583261661,5.1044408526344105
36,5,0.1,3,7.172105897089925,7.040048001402907,5.086610371585916
36,5,0.1,4,7.174180682690937,7.041622715678698,5.083841013620715
36,5,0.1,5,7.166954762878105,7.015571996017676,5.097629347001655
36,5,0.1,6,7.171891058068491,6.995034523390434,5.093125632649094
36,5,0.1,7,7.160736433493777,7.025226423505184,5.093862390780783
36,5,0.1,8,7.168874847316833,7.036379211125175,5.095940210480235
36,5,0.1,9,7.169971650919399,7.0251868425669715,5.09160139673693
36,5,0.2,0,7.16135668551524,6.881746341839284,5.059705742632303
36,5,0.2,1,7.1691708936614384,6.881503936676787,5.024768183935864
36,5,0.2,2,7.157677413720186,6.879639868219145,5.036184115418323
36,5,0.2,3,7.1486435005615245,6.817935791783428,5.002345486806682
36,5,0.2,4,7.152851904443076,6.8462816427082815,5.034796019717889
36,5,0.2,5,7.163202350133658,6.837461812923936,5.045386360016055
36,5,0.2,6,7.158281567496423,6.864575881451941,5.04082816497608
36,5,0.2,7,7.15222275642061,6.932223539129674,5.05569945957276
36,5,0.2,8,7.151425902914538,6.84284877300283,5.012568946253094
36,5,0.2,9,7.156266920232681,6.943089061614632,4.987866085809646
36,5,0.3,0,7.151291903216543,6.660115881004906,4.869194646424047
36,5,0.3,1,7.149725824765393,6.7032227433216,4.939093686942103
36,5,0.3,2,7.140461113771458,6.858896590827463,5.002444286837066
36,5,0.3,3,7.153211417058452,6.806129085482929,4.952572099040873
36,5,0.3,4,7.154570797748231,6.860965788919026,4.967523551749732
36,5,0.3,5,7.138740357859554,6.854027186344303,5.033221049747671
36,5,0.3,6,7.141961495471706,6.8323025586955675,4.968521112983915
36,5,0.3,7,7.155864524459021,6.628459075855104,4.926593679644937
36,5,0.3,8,7.138956418165994,6.757909418547628,4.971358487917901
36,5,0.3,9,7.136315803565832,6.749824182012329,4.945496472891912
36,5,0.4,0,7.123103706376844,6.481106724867516,4.938433050750617
36,5,0.4,1,7.1410161397003735,6.654725578103841,4.944033373173919
36,5,0.4,2,7.148366266899206,6.651684151619556,4.955650674878897
36,5,0.4,3,7.127803179671462,6.617413330167231,4.8800315435968855
36,5,0.4,4,7.130683043284389,6.7243145665881,4.952992380987029
36,5,0.4,5,7.109358309073607,6.509166002921739,4.891491816434452
36,5,0.4,6,7.131691564165245,6.682574263287901,4.920064750634334
36,5,0.4,7,7.123553053523464,6.6324367850107,4.892874570229531
