V,D,perturbation_rate,repetition_id,MD_MP_phis_training,MD_MP_phis_verification,MD_MP_phis_trained_on_verification_set
36,5,0.1,0,5.232653515074354,5.283969244549137,5.283969244549137
36,5,0.1,1,5.178955022468626,5.313552559091726,5.313552559091726
36,5,0.1,2,5.235441496766782,5.381898882063504,5.381898882063504
36,5,0.1,3,5.272122733247802,5.3156667270249995,5.3156667270249995
36,5,0.1,4,5.263691834178853,5.345993378879752,5.345993378879752
36,5,0.1,5,5.268339664159864,5.240503335856522,5.240503335856522
36,5,0.1,6,5.243253078203395,5.191769707072549,5.191769707072549
36,5,0.1,7,5.242247955796013,5.382950942341737,5.382950942341737
36,5,0.1,8,5.261969704062784,5.312529780514427,5.312529780514427
36,5,0.1,9,5.26329803413935,5.203397213618153,5.203397213618153
36,5,0.2,0,7.132980665461518,5.971999759420806,6.818845550918706
36,5,0.2,1,7.150070381368807,5.888183621935365,6.967044661909622
36,5,0.2,2,6.7994692042885045,5.493962224395974,7.228132110132884
36,5,0.2,3,6.943688989561462,6.167550157028521,7.144022015319049
36,5,0.2,4,7.171727343065637,5.892377392547487,7.194170101942586
36,5,0.2,5,7.219475094520305,5.859915958203435,6.991639026760112
36,5,0.2,6,7.2040570870109795,5.49164652144661,7.164767917669973
36,5,0.2,7,7.164264512665629,5.9003918163390745,7.214179297262633
36,5,0.2,8,7.219365651939443,6.104536928939427,6.664684141201953
36,5,0.2,9,7.298714305932226,5.690114244644454,6.830502228832329
36,5,0.3,0,6.909680978447118,5.653210236557153,6.910486755042958
36,5,0.3,1,6.786161795336859,5.42799024669812,6.763403296867579
36,5,0.3,2,6.792048569087358,5.87159783237952,6.893238755785169
36,5,0.3,3,6.7743169704519905,5.493365087348296,6.835673533106128
36,5,0.3,4,6.780892619484612,5.140061642481465,6.803618050926953
36,5,0.3,5,6.8850373988488105,5.665027338974363,6.782398774867845
36,5,0.3,6,6.919663569839867,5.448405019410449,6.7278796829126355
36,5,0.3,7,6.817640477300433,5.454163401435209,6.905140842337802
36,5,0.3,8,6.692568168072955,5.896243457137185,6.817836605579791
36,5,0.3,9,6.871475735373572,5.580473417961827,6.8586894669822165
36,5,0.4,0,6.762500270418069,5.925278527024277,6.768051720898965
36,5,0.4,1,6.608441904112494,5.524368739853387,6.682979106109343
36,5,0.4,2,6.704276638488612,5.560300877281515,6.352617587259287
36,5,0.4,3,6.684997517859426,5.553252827378106,6.727234639238543
36,5,0.4,4,6.637470422886393,5.534445597426397,6.759308671565414
36,5,0.4,5,6.709934808806965,5.382174821484786,6.650223250143717
36,5,0.4,6,6.6064114435905665,5.427492184555786,6.672449270642118
36,5,0.4,7,6.700710505604318,5.394177860957946,6.737424096658844
36,5,0.4,8,6.707432516688984,5.387710160006638,6.720785134705621
36,5,0.4,9,6.661493408915692,5.391794605498625,6.634061636632344
36,5,0.5,0,6.604150614969342,5.571293110273179,6.588015166449662
36,5,0.5,1,6.64652069426043,5.405400810090437,6.625139755727361
36,5,0.5,2,6.660099369727584,5.1199563160411685,6.590976818402963
36,5,0.5,3,6.6031798851628585,5.5142887271709755,6.612545949900511
36,5,0.5,4,6.721759418427145,5.348884556508706,6.602977371839727
36,5,0.5,5,6.587943224870817,5.259043091015619,6.642866100313671
36,5,0.5,6,6.638781402787741,5.1399280388191775,6.686464164387887
36,5,0.5,7,6.598212025685087,5.282779624836512,6.774757854433851
36,5,0.5,8,6.586303010995817,5.663456226926278,6.776922834002253
36,5,0.5,9,6.700539402959851,5.086426369955371,6.668363100160409
36,5,0.6,0,6.531933254159033,5.62626771563845,6.632021868178522
36,5,0.6,1,6.611245024834479,5.240595250990062,6.434311098666747
36,5,0.6,2,6.657781339693613,5.193995833006358,6.63285039479005
36,5,0.6,3,6.624817839086699,5.578527928290431,6.627045432192211
36,5,0.6,4,6.631185276085066,5.347997384789801,6.53833255678623
36,5,0.6,5,6.621369137847165,5.474774168298312,6.614832623354293
36,5,0.6,6,6.528529803377052,5.238376796075868,6.596857544522741
36,5,0.6,7,6.426018435629595,5.418596286689301,6.534052023487192
36,5,0.6,8,6.661651867591236,5.109013963091202,6.567564653221716
36,5,0.6,9,6.611860101782031,5.592819254541984,6.6134641624243775
36,5,0.7,0,6.5592428360501795,5.457336004238037,6.537616707431873
36,5,0.7,1,6.553613772938952,5.244085697085177,6.603373917674191
36,5,0.7,2,6.506061494608653,5.388053499232611,6.53499499373097
36,5,0.7,3,6.545734658353075,5.634516074789622,6.662134121586011
36,5,0.7,4,6.57268061673044,5.5121623870159375,6.474686785419066
36,5,0.7,5,6.514234115967476,5.527024311497869,6.567972101405682
36,5,0.7,6,6.505196665387874,5.228341297644717,6.620885747176345
36,5,0.7,7,6.5894770493404105,5.325277275792051,6.547360248587247
36,5,0.7,8,6.542357186696943,5.124853713552886,6.576472536297398
36,5,0.7,9,6.475084083410682,5.252521455403404,6.460990864412732
36,5,0.8,0,6.500961934286288,5.147155226132081,6.45471956755617
36,5,0.8,1,6.593739075910741,5.2698755483830615,6.490044255490739
36,5,0.8,2,6.600914471852511,5.3793533555475905,6.465437498213378
36,5,0.8,3,6.462753416747406,5.403556493775414,6.427133797151092
36,5,0.8,4,6.5936837710269725,5.042489033558558,6.5754106463711475
36,5,0.8,5,6.54272677110492,5.24717980077135,6.501614151570615
36,5,0.8,6,6.5836965391073665,5.447501777276119,6.490637542148891
36,5,0.8,7,6.394398170355021,5.209693986508876,6.473305601573068
36,5,0.8,8,6.540617481801693,5.477027979049892,6.549241010158464
36,5,0.8,9,6.428768446216071,5.272151411608833,6.484017110917173
36,5,0.9,0,6.549659097697075,5.51063211872789,6.5111726256457025
36,5,0.9,1,6.396925798018985,5.256399301250705,6.37508540016762
36,5,0.9,2,6.4015850550852,5.645453029614184,6.478066144087772
36,5,0.9,3,6.489269832538955,5.182408917650775,6.537111256592119
36,5,0.9,4,6.511461815829697,5.368577208474888,6.591415639187984
36,5,0.9,5,6.480116198229741,5.282083016253574,6.506032162570854
36,5,0.9,6,6.491154498087803,5.217155505847797,6.507047393144749
36,5,0.9,7,6.407014635687072,5.376850951048156,6.516671750116307
36,5,0.9,8,6.515002347561567,5.321779092224894,6.455739943564583
36,5,0.9,9,6.505516061808456,5.638009643288421,6.5040418942947795
36,5,1.0,0,6.547939744702534,5.509150106384924,6.504388625121553
36,5,1.0,1,6.521900991074903,5.396338321448401,6.4651926822931145
36,5,1.0,2,6.608729169152331,4.980415793339944,6.489676463909621
36,5,1.0,3,6.550066193152581,4.931970841202899,6.459826175922575
36,5,1.0,4,6.596333295673446,5.237541695834335,6.4898265188722615
36,5,1.0,5,6.4552893136546645,5.556886325667883,6.512377013208079
36,5,1.0,6,6.443559766711946,5.42364169421695,6.533374788328258
36,5,1.0,7,6.563970269091268,5.328713649072191,6.508072440171225
36,5,1.0,8,6.441478748608781,5.37859633230014,6.526310559851729
36,5,1.0,9,6.492216960034595,5.088621317673256,6.422088646256911
36,5,0.0,0,NAN,NAN,NAN
