V,D,M_name,M_weight,phi_ECMP_ASP,phi_MP_APST4,phi_IT,phi_MD_IT,phi_MD_MP_APST4,phi_MP_APST4_uniform,phi_MP_APST4_shift_1,phi_MP_APST4_halfshift
32,6,uniform,0.3333333333333333,10.0,10.0,9.999987602233887,9.568763732910156,10.0,9.999999999999984,0.5050505050505065,0.5074786324786339
32,6,shift_1,0.3333333333333333,10.0,10.0,10.0,10.0,10.0,5.0,10.0,1.6666666666666667
32,6,half_shift,0.3333333333333333,1.6666666666666667,6.666666666666668,5.765762805938721,5.925922870635986,6.666666666666669,1.6666666666666667,0.5555555555555556,6.666666666666356
V,D,M_name,M_weight,phi_ECMP_ASP,phi_MP_APST4,phi_IT,phi_MD_IT,phi_MD_MP_APST4,phi_MP_APST4_uniform,phi_MP_APST4_shift_1,phi_MP_APST4_halfshift
32,6,shift_1,0.010526315789473684,10.0,10.0,10.0,10.0,10.0,5.0,10.0,1.6666666666666667
32,6,shift_2,0.010526315789473684,5.0,10.0,10.0,9.999999046325684,10.0,2.5,5.0,0.8333333333333334
32,6,shift_3,0.010526315789473684,3.3333333333333335,7.831456149556433,5.925922870635986,6.666662693023682,7.83145614955589,1.6666666666666667,3.3333333333333335,0.5555555555555556
32,6,shift_4,0.010526315789473684,3.3333333333333335,8.810408921933085,6.399996757507324,5.818179130554199,7.6057938853321945,2.406521930430905,0.8333333333333335,0.45454545454545453
32,6,shift_5,0.010526315789473684,3.3333333333333335,8.64705882352941,6.336630344390869,5.161287784576416,7.392772234010331,2.0,0.4761904761904762,0.38461538461538464
32,6,shift_6,0.010526315789473684,3.3333333333333335,7.1913580246913575,6.0952348709106445,4.637678623199463,7.1913580246915965,1.6666666666666667,0.3333333333333333,0.3333333333333333
32,6,shift_7,0.010526315789473684,3.3333333333333335,7.838983050847458,6.0377326011657715,5.161287784576416,7.3413431816605375,2.205355199913774,0.37037037037037046,0.37037037037037046
32,6,shift_8,0.010526315789473684,2.5,8.102110057112482,6.153846263885498,5.714285850524902,7.497717873095442,1.9797531440494243,0.4166666666666667,0.4166666666666667
32,6,shift_9,0.010526315789473684,1.6666666666666667,7.660899287247293,6.0952348709106445,5.3333306312561035,7.660899287247928,1.4203019756385766,0.4761904761904762,0.4761904761904762
32,6,shift_10,0.010526315789473684,2.5,8.0,6.274509906768799,5.517241477966309,7.298098888108414,2.130452963457865,0.5263157894736842,0.5263157894736842
32,6,shift_11,0.010526315789473684,2.857142857142857,7.27272727272727,6.1538496017456055,5.000002384185791,6.9681073264778846,1.864016129381035,0.5882352941176471,0.5882352941176471
32,6,shift_12,0.010526315789473684,3.333333333333334,6.666666666666668,5.925922870635986,4.444442272186279,6.666666666666575,1.2426774195873567,0.6666666666666669,0.6666666666666669
32,6,shift_13,0.010526315789473684,2.857142857142857,6.857142857142858,6.095241069793701,4.848487854003906,6.855421086707551,1.864016129381035,0.5882352941176471,0.5882352941176471
32,6,shift_14,0.010526315789473684,2.5,7.0588235294117645,5.9259257316589355,5.0,7.055175418364787,2.0,0.5263157894736842,0.5263157894736842
32,6,shift_15,0.010526315789473684,1.666666666666667,7.266920071798122,5.925922870635986,4.444442272186279,7.2669200717984985,1.666666666666667,0.4761904761904763,0.4761904761904763
32,6,shift_16,0.010526315789473684,2.5,7.500000000000001,5.9259257316589355,5.0,7.251959441387158,2.0,0.43478260869565216,0.43478260869565216
32,6,shift_17,0.010526315789473684,3.333333333333334,7.485380116959064,6.037732124328613,5.079362869262695,7.237060284232604,2.5000000000000004,0.4000000000000001,0.4000000000000001
32,6,shift_18,0.010526315789473684,3.333333333333334,7.222222222222224,6.0952348709106445,4.444442272186279,7.222222222221567,1.666666666666667,0.3703703703703704,0.3703703703703704
32,6,shift_19,0.010526315789473684,3.333333333333334,7.547169811320754,6.153841972351074,5.079362869262695,7.2172102706449515,2.5000000000000004,0.4000000000000001,0.4000000000000001
32,6,shift_20,0.010526315789473684,2.5,7.407407407407416,5.9259257316589355,5.0,7.212205270457486,2.3479811921453204,0.43478260869565216,0.43478260869565216
32,6,shift_21,0.010526315789473684,1.666666666666667,7.207207207207208,6.0952348709106445,4.444442272186279,7.207207207207219,1.565320794763547,0.4761904761904763,0.4761904761904763
32,6,shift_22,0.010526315789473684,2.5,7.017543859649123,5.981308460235596,5.079365253448486,7.017543859648735,1.8653517362145207,0.5263157894736842,0.5263157894736842
32,6,shift_23,0.010526315789473684,2.857142857142857,6.837606837606838,5.663721084594727,5.000003337860107,6.837606837606935,2.1578585525660055,0.5555555555555556,0.5555555555555556
32,6,shift_24,0.010526315789473684,3.333333333333334,6.666666666666668,5.925922870635986,4.444442272186279,6.666666666667201,1.666666666666667,0.5555555555555557,0.5555555555555557
32,6,shift_25,0.010526315789473684,2.857142857142857,6.95652173913044,6.037738800048828,5.000003814697266,6.894435420964348,2.174859994950296,0.5263157894736842,0.5263157894736842
32,6,shift_26,0.010526315789473684,2.5,7.272727272727267,5.8715596199035645,5.245901584625244,7.138318301047519,2.383225384280663,0.5,0.5
32,6,shift_27,0.010526315789473684,2.2222222222222223,7.400088073633906,6.666658878326416,4.637676239013672,7.400088073633552,1.6666666666666667,0.4761904761904763,0.4761904761904763
32,6,shift_28,0.010526315789473684,3.3333333333333335,7.692307692307689,5.925921440124512,5.245899200439453,7.338252586293347,2.5000000000000004,0.4545454545454546,0.4545454545454546
32,6,shift_29,0.010526315789473684,3.333333333333334,7.547169811320756,6.037732124328613,5.4237260818481445,7.277441935904097,2.3398872599107317,0.4347826086956523,0.4347826086956523
32,6,shift_30,0.010526315789473684,3.333333333333334,7.217630853994492,5.925922870635986,4.848482608795166,7.217630853993278,2.0364254324568978,0.41666666666666674,0.41666666666666674
32,6,shift_31,0.010526315789473684,2.857142857142857,7.586206896551726,5.818185806274414,5.423731327056885,7.235903337169972,2.5000000000000004,0.4347826086956523,0.4347826086956523
32,6,shift_32,0.010526315789473684,2.5,7.500000000000032,6.037735939025879,5.517241477966309,7.254268574065159,2.0,0.45454545454545453,0.45454545454545453
32,6,shift_33,0.010526315789473684,2.2222222222222223,7.2727272727272725,5.925919532775879,5.079359531402588,7.272727272727333,1.6666666666666667,0.4761904761904763,0.4761904761904763
32,6,shift_34,0.010526315789473684,2.5,7.058823529411733,6.095238208770752,5.470085620880127,7.058823529411824,2.0,0.5263157894736842,0.5263157894736842
32,6,shift_35,0.010526315789473684,2.857142857142857,6.857142857142857,5.818186283111572,5.079369068145752,6.8571428571428426,2.5000000000000004,0.5555555555555556,0.5555555555555556
32,6,shift_36,0.010526315789473684,3.333333333333334,6.666666666666669,5.765762805938721,4.539004802703857,6.666666666666747,2.4441921403233486,0.5555555555555557,0.5555555555555557
32,6,shift_37,0.010526315789473684,2.857142857142857,7.0399999999999965,5.981312274932861,5.079368591308594,6.948079785027962,2.5000000000000004,0.5263157894736842,0.5263157894736842
32,6,shift_38,0.010526315789473684,2.5,7.45762711864407,6.095238208770752,5.714285850524902,7.254297977326,2.0,0.5,0.5
32,6,shift_39,0.010526315789473684,1.666666666666667,7.588752103175509,5.925922870635986,5.3333306312561035,7.588752103175402,1.666666666666667,0.4761904761904763,0.4761904761904763
32,6,shift_40,0.010526315789473684,2.5,7.908805031446544,5.9259257316589355,5.818181991577148,7.412451302294522,2.0,0.4761904761904762,0.4761904761904762
32,6,shift_41,0.010526315789473684,2.0,7.607361963190184,6.153846263885498,5.161290168762207,7.244156106211263,2.0,0.4761904761904762,0.4761904761904762
32,6,shift_42,0.010526315789473684,1.666666666666667,7.083333333333337,5.925922870635986,4.637678623199463,7.083333333333392,1.666666666666667,0.4761904761904763,0.4761904761904763
32,6,shift_43,0.010526315789473684,2.5,7.441860465116278,6.153846263885498,5.161290168762207,7.092568448500672,2.295131105848314,0.4761904761904762,0.4761904761904762
32,6,shift_44,0.010526315789473684,2.0,7.2727272727272725,6.153846263885498,5.0,7.101827676240191,2.0,0.4761904761904762,0.4761904761904762
32,6,shift_45,0.010526315789473684,1.6666666666666667,7.111111111111101,6.0952348709106445,4.444442272186279,7.111111111111057,1.6666666666666667,0.4761904761904762,0.4761904761904762
32,6,shift_46,0.010526315789473684,2.5,6.95652173913044,5.818181991577148,5.0,6.956521739130381,2.0,0.5263157894736842,0.7142857142857143
32,6,shift_47,0.010526315789473684,2.0,6.808510638297868,5.9259257316589355,4.776119232177734,6.808510638297882,2.1866015712722913,0.5555555555555556,1.4285714285714286
32,6,shift_48,0.010526315789473684,1.6666666666666667,6.666666666666668,5.765762805938721,4.102561950683594,6.666666666666704,1.6666666666666667,0.5555555555555556,6.666666666666356
32,6,shift_49,0.010526315789473684,2.0,6.808510638297874,5.714285850524902,4.776119232177734,6.808510638297889,2.0,0.5263157894736842,1.4285714285714286
32,6,shift_50,0.010526315789473684,2.5,6.956521739130436,5.9259257316589355,5.161290168762207,6.956521739130625,2.0,0.5,0.7142857142857143
32,6,shift_51,0.010526315789473684,1.6666666666666667,7.111111111111106,6.0952348709106445,4.637678623199463,7.111111111111061,1.6580086541205388,0.4761904761904762,0.4761904761904762
