V,D,EPR,traffic,Phi,Phi_per_EP,mu
128,12,6,router-cluster,3237.1755128928417,4.215072282412554,0.4215072282412556
128,12,6,shift_half,800.0,1.0416666666666667,0.1041666666666666
128,12,6,shift_1,3840.0,5.0,0.5
128,12,6,nearst-neighbour,5113.333333333334,6.657986111111112,0.6666666666666667
133,12,6,random-permute,1329.9999999999995,1.666666666666666,1.1838740039521598
133,12,6,uniform,5432.069071399223,6.8071040994977725,0.6807104099497779
133,12,6,router-cluster,3695.2259163942094,4.630608917787231,0.4642243613560566
133,12,6,shift_half,1218.3206106870214,1.5267175572519065,0.1526717557251908
133,12,6,shift_1,3780.000000000001,4.736842105263159,0.4736842105263158
133,12,6,nearst-neighbour,5123.57142857143,6.420515574650915,0.6428571428571429
162,13,7,nearst-neighbour,9891.269841269825,8.722460177486617,0.873015873015873
162,13,7,uniform,6963.70187365604,6.140830576416262,0.614083057641624
162,13,7,router-cluster,4883.092321634359,4.306077885039118,0.431368579649679
162,13,7,random-permute,1768.4826600101794,1.559508518527495,0.7797542592637471
162,13,7,shift_1,6773.212669683235,5.972850678733011,0.5972850678733032
162,13,7,shift_half,774.7826086956527,0.6832298136645968,0.0683229813664596
183,14,7,random-permute,2395.101522842632,1.8697123519458485,0.9348561759729274
183,14,7,uniform,8534.76000395534,6.662576115499875,0.6662576115499876
183,14,7,nearst-neighbour,11815.384615384624,9.223563321923985,0.9230769230769232
183,14,7,shift_1,6405.0,5.0,0.5
183,14,7,shift_half,1519.4343065693452,1.1861313868613157,0.1186131386861313
183,14,7,router-cluster,6030.053375452821,4.707301620181749,0.4710979199572522
242,17,9,shift_1,10890.0,5.0,0.5
242,17,9,nearst-neighbour,14513.333333333369,6.663605754514862,0.6666666666666667
242,17,9,uniform,13865.250556969013,6.366047087680905,0.63660470876809
242,17,9,shift_half,1210.000000000009,0.5555555555555598,0.0555555555555555
242,17,9,random-permute,3630.000000000005,1.6666666666666687,1.260326377425733
242,17,9,router-cluster,9647.010751399812,4.429297865656479,0.443336891148887
264,11,6,nearst-neighbour,11725.92592592586,7.402731013842083,0.7407407407407407
264,11,6,shift_half,1131.4285714285722,0.7142857142857147,0.0714285714285714
264,11,6,router-cluster,6646.84390032567,4.196239836064185,0.4196239836064176
264,11,6,random-permute,2950.2439024390205,1.8625277161862503,0.9312638580931264
264,11,6,uniform,8639.18397395323,5.454030286586635,0.5454030286586662
264,11,6,shift_1,7920.0,5.0,0.5
